Date,Site,Surveyor,Transect,Meter,Point,Raw Code,Code,Category,Height,Notes
8/6/17,Pillars,JGM,1,1,1,TA,TA,turf algae,3,
8/6/17,Pillars,JGM,1,1,2,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,1,3,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,1,4,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,1,5,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,1,6,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,1,7,TA,TA,turf algae,2,
8/6/17,Pillars,JGM,1,1,8,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,1,9,TA,TA,turf algae,2,
8/6/17,Pillars,JGM,1,1,10,TA,TA,turf algae,5,
8/6/17,Pillars,JGM,1,2,1,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,2,2,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,2,3,TA,TA,turf algae,1,
8/6/17,Pillars,JGM,1,2,4,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,2,5,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,2,6,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,2,7,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,2,8,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,2,9,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,2,10,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,3,1,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,3,2,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,3,3,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,3,4,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,3,5,CYAN,CY,cyanobacteria,,
8/6/17,Pillars,JGM,1,3,6,TA,TA,turf algae,4,
8/6/17,Pillars,JGM,1,3,7,MA,MA,macroalgae,38,
8/6/17,Pillars,JGM,1,3,8,TA,TA,turf algae,2,
8/6/17,Pillars,JGM,1,3,9,TA,TA,turf algae,2,
8/6/17,Pillars,JGM,1,3,10,TA,TA,turf algae,4,
8/6/17,Pillars,JGM,1,4,1,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,4,2,TA,TA,turf algae,6,
8/6/17,Pillars,JGM,1,4,3,OINV,OINV,non-aggressive invert,,SPONGE
8/6/17,Pillars,JGM,1,4,4,CYAN,CY,cyanobacteria,,
8/6/17,Pillars,JGM,1,4,5,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,4,6,OINV,OINV,non-aggressive invert,,SPONGE
8/6/17,Pillars,JGM,1,4,7,CYAN,CY,cyanobacteria,,
8/6/17,Pillars,JGM,1,4,8,LC,LC,coral,,
8/6/17,Pillars,JGM,1,4,9,CYAN,CY,cyanobacteria,,
8/6/17,Pillars,JGM,1,4,10,CYAN,CY,cyanobacteria,,
8/6/17,Pillars,JGM,1,5,1,CYAN,CY,cyanobacteria,,
8/6/17,Pillars,JGM,1,5,2,CYAN,CY,cyanobacteria,,
8/6/17,Pillars,JGM,1,5,3,CYAN,CY,cyanobacteria,,
8/6/17,Pillars,JGM,1,5,4,CYAN,CY,cyanobacteria,,
8/6/17,Pillars,JGM,1,5,5,CYAN,CY,cyanobacteria,,
8/6/17,Pillars,JGM,1,5,6,CYAN,CY,cyanobacteria,,
8/6/17,Pillars,JGM,1,5,7,MA,MA,macroalgae,23,
8/6/17,Pillars,JGM,1,5,8,LC,LC,coral,,
8/6/17,Pillars,JGM,1,5,9,MA,MA,macroalgae,21,
8/6/17,Pillars,JGM,1,5,10,TA,TA,turf algae,2,
8/6/17,Pillars,JGM,1,6,1,MA,MA,macroalgae,4,
8/6/17,Pillars,JGM,1,6,2,MA,MA,macroalgae,14,
8/6/17,Pillars,JGM,1,6,3,MA,MA,macroalgae,31,
8/6/17,Pillars,JGM,1,6,4,TA,TA,turf algae,2,
8/6/17,Pillars,JGM,1,6,5,TA,TA,turf algae,3,
8/6/17,Pillars,JGM,1,6,6,TA,TA,turf algae,2,
8/6/17,Pillars,JGM,1,6,7,AINV,AINV,aggressive invert,,SPONGE
8/6/17,Pillars,JGM,1,6,8,TA,TA,turf algae,2,
8/6/17,Pillars,JGM,1,6,9,TA,TA,turf algae,10,
8/6/17,Pillars,JGM,1,6,10,TA,TA,turf algae,11,
8/6/17,Pillars,JGM,1,7,1,TA,TA,turf algae,4,
8/6/17,Pillars,JGM,1,7,2,TA,TA,turf algae,4,
8/6/17,Pillars,JGM,1,7,3,TA,TA,turf algae,4,
8/6/17,Pillars,JGM,1,7,4,TA,TA,turf algae,9,
8/6/17,Pillars,JGM,1,7,5,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,7,6,MA,MA,macroalgae,9,
8/6/17,Pillars,JGM,1,7,7,TA,TA,turf algae,2,
8/6/17,Pillars,JGM,1,7,8,MA,MA,macroalgae,12,
8/6/17,Pillars,JGM,1,7,9,TA,TA,turf algae,4,
8/6/17,Pillars,JGM,1,7,10,TA,TA,turf algae,7,
8/6/17,Pillars,JGM,1,8,1,TA,TA,turf algae,15,
8/6/17,Pillars,JGM,1,8,2,SAND,sand,sand,,
8/6/17,Pillars,JGM,1,8,3,TA,TA,turf algae,7,
8/6/17,Pillars,JGM,1,8,4,MA,MA,macroalgae,17,
8/6/17,Pillars,JGM,1,8,5,TA,TA,turf algae,2,
8/6/17,Pillars,JGM,1,8,6,MA,MA,macroalgae,7,
8/6/17,Pillars,JGM,1,8,7,MA,MA,macroalgae,10,
8/6/17,Pillars,JGM,1,8,8,TA,TA,turf algae,4,
8/6/17,Pillars,JGM,1,8,9,TA,TA,turf algae,6,
8/6/17,Pillars,JGM,1,8,10,LC,LC,coral,,
8/6/17,Pillars,JGM,1,9,1,MA,MA,macroalgae,31,
8/6/17,Pillars,JGM,1,9,2,TA,TA,turf algae,8,
8/6/17,Pillars,JGM,1,9,3,TA,TA,turf algae,3,
8/6/17,Pillars,JGM,1,9,4,LC,LC,coral,,
8/6/17,Pillars,JGM,1,9,5,TA,TA,turf algae,4,
8/6/17,Pillars,JGM,1,9,6,TA,TA,turf algae,7,
8/6/17,Pillars,JGM,1,9,7,TA,TA,turf algae,2,
8/6/17,Pillars,JGM,1,9,8,MA,MA,macroalgae,23,
8/6/17,Pillars,JGM,1,9,9,MA,MA,macroalgae,50,
8/6/17,Pillars,JGM,1,9,10,LC,LC,coral,,
8/6/17,Pillars,JGM,1,10,1,LC,LC,coral,,
8/6/17,Pillars,JGM,1,10,2,LC,LC,coral,,
8/6/17,Pillars,JGM,1,10,3,TA,TA,turf algae,2,
8/6/17,Pillars,JGM,1,10,4,MA,MA,macroalgae,17,
8/6/17,Pillars,JGM,1,10,5,AINV,AINV,aggressive invert,,
8/6/17,Pillars,JGM,1,10,6,TA,TA,turf algae,3,
8/6/17,Pillars,JGM,1,10,7,TA,TA,turf algae,1,
8/6/17,Pillars,JGM,1,10,8,MA,MA,macroalgae,9,
8/6/17,Pillars,JGM,1,10,9,LC,LC,coral,,
8/6/17,Pillars,JGM,1,10,10,MA,MA,macroalgae,9,
8/6/17,Pillars,JGM,2,1,1,MA,MA,macroalgae,11,
8/6/17,Pillars,JGM,2,1,2,TA,TA,turf algae,3,
