Date,Time,Island,Site,Surveyor,Transect,Depth.ft,Species Code,Common Name,Species,Family,Functional Group,Length,Number,Phase,a,b,Biomass
8/12/17,12:00,Barbuda,Pallaster East,MWW,3,21,jvg,Grunt (juvenile),Haemulon spp.,Haemulidae,Carnivores,1,15,,0.0127,3.1581,0.0127
8/12/17,12:00,Barbuda,Pallaster East,MWW,4,24,strp,Striped Parrotfish,Scarus iserti,Scaridae,Herbivores,1,5,j,0.0147,3.0548,0.0147
8/12/17,12:00,Barbuda,Pallaster East,MWW,5,19,strp,Striped Parrotfish,Scarus iserti,Scaridae,Herbivores,1,10,j,0.0147,3.0548,0.0147
8/9/17,11:53,Antigua,Mermaid Gardens,MWW,1,,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,1,1,j,0.025,2.9214,0.025
8/8/17,12:36,Antigua,Turtle Bay,MWW,2,22,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,2,1,j,0.0046,3.4291,0.049547277
8/9/17,11:53,Antigua,Mermaid Gardens,MWW,1,,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,2,1,j,0.0046,3.4291,0.049547277
8/9/17,11:53,Antigua,Mermaid Gardens,MWW,1,,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,2,1,j,0.0046,3.4291,0.049547277
8/12/17,15:22,Barbuda,Pallaster West,MWW,2,25,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,2,30,j,0.0046,3.4291,0.049547277
8/12/17,12:00,Barbuda,Pallaster East,MWW,5,19,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,2,1,j,0.0046,3.4291,0.049547277
8/6/17,13:47,Antigua,Windward,MWW,5,18,bhw,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,2,15,,0.00891,3.01,0.071775792
8/8/17,9:51,Antigua,Rendezvous,MWW,4,15,bhw,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,2,15,,0.00891,3.01,0.071775792
8/8/17,12:36,Antigua,Turtle Bay,MWW,2,22,bhw,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,2,20,,0.00891,3.01,0.071775792
8/8/17,12:36,Antigua,Turtle Bay,MWW,3,16,bhw,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,2,10,,0.00891,3.01,0.071775792
8/9/17,11:53,Antigua,Mermaid Gardens,MWW,1,,bhw,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,2,1,,0.00891,3.01,0.071775792
8/9/17,11:53,Antigua,Mermaid Gardens,MWW,2,21,bhw,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,2,12,,0.00891,3.01,0.071775792
8/9/17,11:53,Antigua,Mermaid Gardens,MWW,3,25,bhw,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,2,20,,0.00891,3.01,0.071775792
8/9/17,11:53,Antigua,Mermaid Gardens,MWW,4,26,bhw,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,2,25,,0.00891,3.01,0.071775792
8/9/17,11:53,Antigua,Mermaid Gardens,MWW,4,26,bhw,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,2,20,,0.00891,3.01,0.071775792
8/9/17,11:53,Antigua,Mermaid Gardens,MWW,5,30,bhw,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,2,30,,0.00891,3.01,0.071775792
8/24/17,12:10,Antigua,Snapper Point,MWW,3,15,bhw,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,2,15,,0.00891,3.01,0.071775792
8/24/17,12:10,Antigua,Snapper Point,MWW,5,20,bhw,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,2,20,,0.00891,3.01,0.071775792
8/6/17,11:00,Antigua,Pillars,MWW,3,,brc,Brown Chromis,Chromis multilineata,Pomacentridae,Planktivore,2,40,,0.01479,2.98,0.116691054
8/6/17,11:00,Antigua,Pillars,MWW,5,,brc,Brown Chromis,Chromis multilineata,Pomacentridae,Planktivore,2,50,,0.01479,2.98,0.116691054
8/6/17,13:47,Antigua,Windward,MWW,4,15,brc,Brown Chromis,Chromis multilineata,Pomacentridae,Planktivore,2,6,,0.01479,2.98,0.116691054
8/12/17,12:00,Barbuda,Pallaster East,MWW,1,28,blc,Blue Chromis,Chromis cyanea,Pomacentridae,Planktivore,2,20,,0.01479,2.98,0.116691054
8/12/17,12:00,Barbuda,Pallaster East,MWW,4,24,blc,Blue Chromis,Chromis cyanea,Pomacentridae,Planktivore,2,10,,0.01479,2.98,0.116691054
8/24/17,12:10,Antigua,Snapper Point,MWW,4,16,brc,Brown Chromis,Chromis multilineata,Pomacentridae,Planktivore,2,15,,0.01479,2.98,0.116691054
8/24/17,12:10,Antigua,Snapper Point,MWW,5,20,blc,Blue Chromis,Chromis cyanea,Pomacentridae,Planktivore,2,1,,0.01479,2.98,0.116691054
8/8/17,9:51,Antigua,Rendezvous,MWW,1,15,bid,Bicolour Damselfish,Stegastes partitus,Pomacentridae,Herbivores,2,20,,0.01479,3.01,0.119142981
8/8/17,12:36,Antigua,Turtle Bay,MWW,2,22,bid,Bicolour Damselfish,Stegastes partitus,Pomacentridae,Herbivores,2,10,,0.01479,3.01,0.119142981
8/9/17,11:53,Antigua,Mermaid Gardens,MWW,1,,bid,Bicolour Damselfish,Stegastes partitus,Pomacentridae,Herbivores,2,15,,0.01479,3.01,0.119142981
8/9/17,11:53,Antigua,Mermaid Gardens,MWW,2,21,bid,Bicolour Damselfish,Stegastes partitus,Pomacentridae,Herbivores,2,10,,0.01479,3.01,0.119142981
8/24/17,12:10,Antigua,Snapper Point,MWW,5,20,bid,Bicolour Damselfish,Stegastes partitus,Pomacentridae,Herbivores,2,10,,0.01479,3.01,0.119142981
8/12/17,15:22,Barbuda,Pallaster West,MWW,1,25,strp,Striped Parrotfish,Scarus iserti,Scaridae,Herbivores,2,10,j,0.0147,3.0548,0.122152895
8/12/17,15:22,Barbuda,Pallaster West,MWW,1,25,strp,Striped Parrotfish,Scarus iserti,Scaridae,Herbivores,2,8,j,0.0147,3.0548,0.122152895
8/12/17,15:22,Barbuda,Pallaster West,MWW,2,25,strp,Striped Parrotfish,Scarus iserti,Scaridae,Herbivores,2,35,j,0.0147,3.0548,0.122152895
8/12/17,15:22,Barbuda,Pallaster West,MWW,5,17,strp,Striped Parrotfish,Scarus iserti,Scaridae,Herbivores,2,40,j,0.0147,3.0548,0.122152895
8/12/17,12:00,Barbuda,Pallaster East,MWW,3,21,strp,Striped Parrotfish,Scarus iserti,Scaridae,Herbivores,2,16,j,0.0147,3.0548,0.122152895
8/12/17,12:00,Barbuda,Pallaster East,MWW,3,21,strp,Striped Parrotfish,Scarus iserti,Scaridae,Herbivores,2,15,j,0.0147,3.0548,0.122152895
8/12/17,12:00,Barbuda,Pallaster East,MWW,4,24,strp,Striped Parrotfish,Scarus iserti,Scaridae,Herbivores,2,1,j,0.0147,3.0548,0.122152895
8/12/17,12:00,Barbuda,Pallaster East,MWW,5,19,strp,Striped Parrotfish,Scarus iserti,Scaridae,Herbivores,2,8,j,0.0147,3.0548,0.122152895
8/12/17,12:00,Barbuda,Pallaster East,MWW,5,19,strp,Striped Parrotfish,Scarus iserti,Scaridae,Herbivores,2,5,j,0.0147,3.0548,0.122152895
8/12/17,9:00,Barbuda,Pallaster Mid,MWW,5,19,strp,Striped Parrotfish,Scarus iserti,Scaridae,Herbivores,2,8,j,0.0147,3.0548,0.122152895
8/8/17,12:36,Antigua,Turtle Bay,MWW,3,16,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,2,1,j,0.025,2.9214,0.18939523
8/8/17,12:36,Antigua,Turtle Bay,MWW,5,23,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,2,1,j,0.025,2.9214,0.18939523
8/12/17,15:22,Barbuda,Pallaster West,MWW,5,17,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,2,1,j,0.025,2.9214,0.18939523
8/12/17,12:00,Barbuda,Pallaster East,MWW,1,28,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,2,1,j,0.025,2.9214,0.18939523
8/12/17,12:00,Barbuda,Pallaster East,MWW,2,25,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,2,1,j,0.025,2.9214,0.18939523
8/12/17,12:00,Barbuda,Pallaster East,MWW,5,19,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,2,1,j,0.025,2.9214,0.18939523
8/12/17,9:00,Barbuda,Pallaster Mid,MWW,4,17,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,2,2,j,0.025,2.9214,0.18939523
8/8/17,12:36,Antigua,Turtle Bay,MWW,2,22,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,3,1,j,0.0046,3.4291,0.199000573
8/8/17,12:36,Antigua,Turtle Bay,MWW,2,22,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,3,1,j,0.0046,3.4291,0.199000573
8/8/17,12:36,Antigua,Turtle Bay,MWW,3,16,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,3,1,j,0.0046,3.4291,0.199000573
8/8/17,12:36,Antigua,Turtle Bay,MWW,4,20,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,3,1,j,0.0046,3.4291,0.199000573
8/9/17,11:53,Antigua,Mermaid Gardens,MWW,1,,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,3,1,j,0.0046,3.4291,0.199000573
8/9/17,11:53,Antigua,Mermaid Gardens,MWW,2,21,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,3,1,j,0.0046,3.4291,0.199000573
8/9/17,11:53,Antigua,Mermaid Gardens,MWW,3,25,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,3,1,j,0.0046,3.4291,0.199000573
8/9/17,11:53,Antigua,Mermaid Gardens,MWW,4,26,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,3,1,j,0.0046,3.4291,0.199000573
8/9/17,11:53,Antigua,Mermaid Gardens,MWW,5,30,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,3,1,j,0.0046,3.4291,0.199000573
8/12/17,15:22,Barbuda,Pallaster West,MWW,2,25,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,3,6,j,0.0046,3.4291,0.199000573
8/12/17,15:22,Barbuda,Pallaster West,MWW,3,25,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,3,1,j,0.0046,3.4291,0.199000573
8/12/17,12:00,Barbuda,Pallaster East,MWW,1,28,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,3,5,j,0.0046,3.4291,0.199000573
8/12/17,12:00,Barbuda,Pallaster East,MWW,2,25,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,3,5,j,0.0046,3.4291,0.199000573
8/12/17,12:00,Barbuda,Pallaster East,MWW,3,21,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,3,2,j,0.0046,3.4291,0.199000573
8/12/17,12:00,Barbuda,Pallaster East,MWW,5,19,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,3,2,j,0.0046,3.4291,0.199000573
8/12/17,12:00,Barbuda,Pallaster East,MWW,5,19,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,3,1,j,0.0046,3.4291,0.199000573
8/12/17,9:00,Barbuda,Pallaster Mid,MWW,1,24,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,3,4,j,0.0046,3.4291,0.199000573
8/12/17,9:00,Barbuda,Pallaster Mid,MWW,2,20,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,3,1,j,0.0046,3.4291,0.199000573
8/12/17,9:00,Barbuda,Pallaster Mid,MWW,4,17,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,3,2,j,0.0046,3.4291,0.199000573
8/12/17,9:00,Barbuda,Pallaster Mid,MWW,5,19,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,3,1,j,0.0046,3.4291,0.199000573
8/12/17,15:22,Barbuda,Pallaster West,MWW,3,25,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,2,6,j,0.0335,2.7086,0.218985144
8/6/17,11:00,Antigua,Pillars,MWW,1,20,bhw,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,3,30,,0.00891,3.01,0.243227503
8/6/17,11:00,Antigua,Pillars,MWW,4,,bhw,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,3,10,,0.00891,3.01,0.243227503
8/6/17,11:00,Antigua,Pillars,MWW,5,,bhw,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,3,20,,0.00891,3.01,0.243227503
8/6/17,13:47,Antigua,Windward,MWW,2,15,bhw,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,3,15,,0.00891,3.01,0.243227503
8/6/17,13:47,Antigua,Windward,MWW,3,15,bhw,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,3,40,,0.00891,3.01,0.243227503
8/6/17,13:47,Antigua,Windward,MWW,4,15,bhw,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,3,80,,0.00891,3.01,0.243227503
8/6/17,13:47,Antigua,Windward,MWW,5,18,bhw,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,3,5,,0.00891,3.01,0.243227503
8/6/17,13:47,Antigua,Windward,MWW,5,18,bhw,Bluehead Wrasse,Thalassoma bifasciatum,Labridae,Carnivores,3,10,,0.00891,3.01,0.243227503
