Date,Region,Diver,Site,Transect,Species Code,Common Name,Species,Family,Functional Group,Length,Number,Phase,a,b,Biomass
3/5/17,Bonaire,REB,Calabas,1,FrG,French Grunt,Haemulon flavolineatum,Haemulidae,Carnivores,12,1,,0.0127,3.1581,32.50618585
3/5/17,Bonaire,REB,Calabas,1,GtF,Goatfish,Mulloidichthys martinicus,Mullidae,Carnivores,18,2,,0.00977,3.14,85.39849749
3/5/17,Bonaire,REB,Calabas,1,BdB,Banded Butterflyfish,Chaetodan striatus,Chaetodontidae,Carnivores,12,1,,0.0222,3.1395,54.25534088
3/5/17,Bonaire,REB,Calabas,1,YtS,Yellowtail Snapper,Ocyurus chrysurus,Lutjanidae,Carnivores,20,1,,0.0405,2.718,139.2049092
3/5/17,Bonaire,REB,Calabas,1,SqF,Squirrel Fish,Holocentrus adsensionis,Holocentridae,Carnivores,16,5,,0.0115,2.89,34.72198861
3/5/17,Bonaire,REB,Calabas,1,SqF,Squirrel Fish,Holocentrus adsensionis,Holocentridae,Carnivores,12,5,,0.0115,2.89,15.1192985
3/5/17,Bonaire,REB,Calabas,1,LsS,Longspine squirrelfish,Holocentrus rufus,Holocentridae,Carnivores,23,1,,0.01148,2.89,98.93166863
3/5/17,Bonaire,REB,Calabas,1,TrF,Trumpet Fish,Aulostomus maculatus,Aulostomidae,Carnivores,40,1,,0.004,2.865,155.5829015
3/5/17,Bonaire,REB,Calabas,1,PuD,Puddingwife,Halichoeres radiatus,Labridae,Carnivores,23,1,,0.0131,3.038,179.556223
3/5/17,Bonaire,REB,Calabas,2,BdB,Banded Butterflyfish,Chaetodan striatus,Chaetodontidae,Carnivores,6,2,,0.0222,3.1395,6.156853574
3/5/17,Bonaire,REB,Calabas,2,GtF,Goatfish,Mulloidichthys martinicus,Mullidae,Carnivores,16,1,,0.00977,3.14,58.9971876
3/5/17,Bonaire,REB,Calabas,2,Sgm,Sergeant Major,Abudefduf saxatilis,Pomacentridae,Carnivores,7,1,,0.0227,3.142,10.26417148
3/5/17,Bonaire,REB,Calabas,2,TrF,Trumpet Fish,Aulostomus maculatus,Aulostomidae,Carnivores,22,1,,0.004,2.865,28.06085967
