Date,Island,Site,Surveyor,Transect,Species Code,Common name,Species,Family,Functional Group,Length,Number,Phase,a,b,Biomass
3/6/17,Bonaire,18th Palm,MWW,7,bch,Bermuda Chub,Kyphosus sectatrix,Kyphosidae,Herbivores,27,1,,0.01202,3.02,252.7103536
3/6/17,Bonaire,18th Palm,REB,2,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,39,1,T,0.025,2.9214,1111.926682
3/6/17,Bonaire,18th Palm,MWW,7,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,38,1,t,0.025,2.9214,1030.67041
3/6/17,Bonaire,18th Palm,MWW,3,blm,Black Margate,Anisotremus surinamensis,Haemulidae,Carnivores,35,1,,0.0059,3.3916,1017.91893
3/6/17,Bonaire,18th Palm,MWW,4,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,36,1,t,0.025,2.9214,880.079965
3/6/17,Bonaire,18th Palm,MWW,2,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,35,1,t,0.025,2.9214,810.5510887
3/6/17,Bonaire,18th Palm,MWW,3,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,35,1,t,0.025,2.9214,810.5510887
3/6/17,Bonaire,18th Palm,MWW,1,baj,Bar Jack,Caranx ruber,Carangidae,Carnivores,36,2,,0.0074,3.237,807.203274
3/6/17,Bonaire,18th Palm,MWW,4,blm,Black Margate,Anisotremus surinamensis,Haemulidae,Carnivores,32,1,,0.0059,3.3916,751.1361747
3/6/17,Bonaire,18th Palm,REB,1,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,33,1,T,0.025,2.9214,682.5376811
3/6/17,Bonaire,18th Palm,REB,3,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,33,1,T,0.025,2.9214,682.5376811
3/6/17,Bonaire,18th Palm,MWW,6,fra,French Angelfish,Pomacanthus paru,Pomacanthidae,Carnivores,28,1,,0.0203,3.1264,679.033041
3/6/17,Bonaire,18th Palm,REB,6,csg,Caesar Grunt,Haemulon carbonarium,Haemulidae,Carnivores,33,1,,0.0147,3.0559,642.3091128
3/6/17,Bonaire,18th Palm,MWW,3,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,32,1,t,0.025,2.9214,623.8571478
3/6/17,Bonaire,18th Palm,REB,1,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,32,1,T,0.025,2.9214,623.8571478
3/6/17,Bonaire,18th Palm,MWW,6,fra,French Angelfish,Pomacanthus paru,Pomacanthidae,Carnivores,27,1,,0.0203,3.1264,606.0545418
3/6/17,Bonaire,18th Palm,MWW,7,fra,French Angelfish,Pomacanthus paru,Pomacanthidae,Carnivores,27,1,,0.0203,3.1264,606.0545418
3/6/17,Bonaire,18th Palm,MWW,1,blm,Black Margate,Anisotremus surinamensis,Haemulidae,Carnivores,30,1,,0.0059,3.3916,603.4710756
3/6/17,Bonaire,18th Palm,REB,6,porq,Porcupinefish,Diodon hystrix,Diodontidae,Carnivores,24,1,,0.06607,2.84,549.2932134
