Date,Region,Site,Transect,Species Code,Common Name,Species,Family,Functional Group,Length,Phase,a,b,Biomass
2011,Bonaire,Bachelor's Beach,1,ocs,Ocean Surgeonfish,Acanthurus bahianus,Acanthuridae,Herbivores,17,,-4.6005,2.9752,108.5254589
2011,Bonaire,Bachelor's Beach,1,ytd,Yellowtail Damselfish,Microspathodon chrysurus,Pomacentridae,Herbivores,18,,-4.7033,3.0825,177.2464301
2011,Bonaire,Bachelor's Beach,1,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,25,t,-3.2257,2.3852,311.7931062
2011,Bonaire,Bachelor's Beach,1,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,30,t,-3.2257,2.3852,481.6478397
2011,Bonaire,Bachelor's Beach,1,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,22,i,-5.0162,3.1109,186.5703893
2011,Bonaire,Bachelor's Beach,1,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,30,i,-5.0162,3.1109,489.6395739
2011,Bonaire,Bachelor's Beach,1,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,33,t,-5.0162,3.1109,658.6353186
2011,Bonaire,Bachelor's Beach,1,rdp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,19,i,-4.0781,2.7438,149.3977753
2011,Bonaire,Bachelor's Beach,1,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,26,i,-4.4317,2.9051,383.7417689
2011,Bonaire,Bachelor's Beach,1,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,26,i,-4.4317,2.9051,383.7417689
2011,Bonaire,Bachelor's Beach,2,ocs,Ocean Surgeonfish,Acanthurus bahianus,Acanthuridae,Herbivores,18,,-4.6005,2.9752,128.6431771
2011,Bonaire,Bachelor's Beach,2,ocs,Ocean Surgeonfish,Acanthurus bahianus,Acanthuridae,Herbivores,18,,-4.6005,2.9752,128.6431771
2011,Bonaire,Bachelor's Beach,2,ytd,Yellowtail Damselfish,Microspathodon chrysurus,Pomacentridae,Herbivores,18,,-4.7033,3.0825,177.2464301
2011,Bonaire,Bachelor's Beach,2,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,12,i,-4.8887,3.0548,29.02571124
2011,Bonaire,Bachelor's Beach,2,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,15,i,-4.8887,3.0548,57.38832884
2011,Bonaire,Bachelor's Beach,2,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,4,j,-4.8887,3.0548,1.012215216
2011,Bonaire,Bachelor's Beach,2,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,4,j,-4.8887,3.0548,1.012215216
2011,Bonaire,Bachelor's Beach,2,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,4,j,-4.8887,3.0548,1.012215216
2011,Bonaire,Bachelor's Beach,2,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,4,j,-4.8887,3.0548,1.012215216
2011,Bonaire,Bachelor's Beach,2,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,4,j,-4.8887,3.0548,1.012215216
2011,Bonaire,Bachelor's Beach,2,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,4,j,-4.8887,3.0548,1.012215216
2011,Bonaire,Bachelor's Beach,2,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,4,j,-4.8887,3.0548,1.012215216
2011,Bonaire,Bachelor's Beach,2,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,4,j,-4.8887,3.0548,1.012215216
2011,Bonaire,Bachelor's Beach,2,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,4,j,-4.8887,3.0548,1.012215216
2011,Bonaire,Bachelor's Beach,2,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,4,j,-4.8887,3.0548,1.012215216
2011,Bonaire,Bachelor's Beach,2,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,23,t,-4.8887,3.0548,211.7903624
2011,Bonaire,Bachelor's Beach,2,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,23,t,-3.2257,2.3852,255.5602089
2011,Bonaire,Bachelor's Beach,2,rdp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,20,i,-4.0781,2.7438,171.9753104
2011,Bonaire,Bachelor's Beach,2,rdp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,20,i,-4.0781,2.7438,171.9753104
2011,Bonaire,Bachelor's Beach,2,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,30,i,-4.4317,2.9051,581.547184
2011,Bonaire,Bachelor's Beach,2,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,32,t,-4.4317,2.9051,701.4733917
2011,Bonaire,Bachelor's Beach,3,blt,Blue Tang,Acanthurus coeruleus,Acanthuridae,Herbivores,20,,-2.8242,2.2638,242.5893351
2011,Bonaire,Bachelor's Beach,3,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,13,j,-4.8887,3.0548,37.06586611
2011,Bonaire,Bachelor's Beach,3,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,20,t,-4.8887,3.0548,138.1931228
2011,Bonaire,Bachelor's Beach,3,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,18,i,-3.2257,2.3852,142.4216389
2011,Bonaire,Bachelor's Beach,3,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,19,i,-3.2257,2.3852,162.025395
2011,Bonaire,Bachelor's Beach,3,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,22,i,-3.2257,2.3852,229.8510957
2011,Bonaire,Bachelor's Beach,3,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,23,i,-3.2257,2.3852,255.5602089
2011,Bonaire,Bachelor's Beach,3,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,23,t,-3.2257,2.3852,255.5602089
2011,Bonaire,Bachelor's Beach,3,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,25,i,-5.0162,3.1109,277.684458
2011,Bonaire,Bachelor's Beach,3,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,27,i,-5.0162,3.1109,352.8007778
2011,Bonaire,Bachelor's Beach,3,rdp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,18,i,-4.0781,2.7438,128.8002481
2011,Bonaire,Bachelor's Beach,3,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,28,i,-4.4317,2.9051,475.925305
2011,Bonaire,Bachelor's Beach,3,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,30,i,-4.4317,2.9051,581.547184
2011,Bonaire,Bachelor's Beach,3,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,32,t,-4.4317,2.9051,701.4733917
2011,Bonaire,Bachelor's Beach,4,ocs,Ocean Surgeonfish,Acanthurus bahianus,Acanthuridae,Herbivores,18,,-4.6005,2.9752,128.6431771
2011,Bonaire,Bachelor's Beach,4,ytd,Yellowtail Damselfish,Microspathodon chrysurus,Pomacentridae,Herbivores,13,,-4.7033,3.0825,65.00254842
2011,Bonaire,Bachelor's Beach,4,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,15,i,-4.8887,3.0548,57.38832884
2011,Bonaire,Bachelor's Beach,4,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,18,i,-4.8887,3.0548,100.1627982
2011,Bonaire,Bachelor's Beach,4,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,20,i,-3.2257,2.3852,183.1119745
2011,Bonaire,Bachelor's Beach,4,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,23,t,-3.2257,2.3852,255.5602089
2011,Bonaire,Bachelor's Beach,4,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,32,i,-5.0162,3.1109,598.5095266
2011,Bonaire,Bachelor's Beach,4,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,32,i,-5.0162,3.1109,598.5095266
2011,Bonaire,Bachelor's Beach,4,rdp,Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Herbivores,20,t,-4.0781,2.7438,171.9753104
2011,Bonaire,Bachelor's Beach,4,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,30,i,-4.4317,2.9051,581.547184
2011,Bonaire,Bachelor's Beach,5,blt,Blue Tang,Acanthurus coeruleus,Acanthuridae,Herbivores,18,,-2.8242,2.2638,191.1110933
2011,Bonaire,Bachelor's Beach,5,ytd,Yellowtail Damselfish,Microspathodon chrysurus,Pomacentridae,Herbivores,13,,-4.7033,3.0825,65.00254842
2011,Bonaire,Bachelor's Beach,5,ytd,Yellowtail Damselfish,Microspathodon chrysurus,Pomacentridae,Herbivores,13,,-4.7033,3.0825,65.00254842
2011,Bonaire,Bachelor's Beach,5,strp,Striped Parrotfish,Scarus iseri,Scaridae,Herbivores,16,i,-4.8887,3.0548,69.89493784
2011,Bonaire,Bachelor's Beach,5,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,20,i,-5.0162,3.1109,138.6992822
2011,Bonaire,Bachelor's Beach,5,qup,Queen Parrotfish,Scarus vetula,Scaridae,Herbivores,30,i,-5.0162,3.1109,489.6395739
2011,Bonaire,Bachelor's Beach,5,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,10,i,-4.4317,2.9051,23.90561935
2011,Bonaire,Bachelor's Beach,5,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,26,i,-4.4317,2.9051,383.7417689
2011,Bonaire,Bachelor's Beach,5,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,27,i,-4.4317,2.9051,428.2080932
2011,Bonaire,Bachelor's Beach,5,stop,Stoplight Parrotfish,Sparisoma viride,Scaridae,Herbivores,32,t,-4.4317,2.9051,701.4733917
2011,Bonaire,Bachelor's Beach,6,ocs,Ocean Surgeonfish,Acanthurus bahianus,Acanthuridae,Herbivores,18,,-4.6005,2.9752,128.6431771
2011,Bonaire,Bachelor's Beach,6,blt,Blue Tang,Acanthurus coeruleus,Acanthuridae,Herbivores,17,,-2.8242,2.2638,167.9152994
2011,Bonaire,Bachelor's Beach,6,blt,Blue Tang,Acanthurus coeruleus,Acanthuridae,Herbivores,18,,-2.8242,2.2638,191.1110933
2011,Bonaire,Bachelor's Beach,6,ytd,Yellowtail Damselfish,Microspathodon chrysurus,Pomacentridae,Herbivores,18,,-4.7033,3.0825,177.2464301
2011,Bonaire,Bachelor's Beach,6,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,18,i,-3.2257,2.3852,142.4216389
2011,Bonaire,Bachelor's Beach,6,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,20,i,-3.2257,2.3852,183.1119745
2011,Bonaire,Bachelor's Beach,6,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,20,i,-3.2257,2.3852,183.1119745
2011,Bonaire,Bachelor's Beach,6,prp,Princess Parrotfish,Scarus taeniopterus,Scaridae,Herbivores,20,i,-3.2257,2.3852,183.1119745
