Date,Time,Diver,Island,Site,Follow Number,Species Code,Species,Phase,Length.cm,Follow.sec,Min,Sec,Activity Code,Activity,Bites,Initiator,Competitor Code,Competitor Species,Competitor Size,Competitor Phase,Time.sec,Time Fraction,a,b,Weight.g
3/26/17,9:30,MWW,Antigua,Pillars,1,stop,Sparisoma viride,t,35,120,0,0,s,swim,,,,#N/A,,,10,0.083333333,0.0138,3.04,682.0966887
3/26/17,9:30,MWW,Antigua,Pillars,1,stop,Sparisoma viride,t,35,120,0,10,g,graze,3,,,#N/A,,,5,0.041666667,0.0138,3.04,682.0966887
3/26/17,9:30,MWW,Antigua,Pillars,1,stop,Sparisoma viride,t,35,120,0,15,s,swim,,,,#N/A,,,10,0.083333333,0.0138,3.04,682.0966887
3/26/17,9:30,MWW,Antigua,Pillars,1,stop,Sparisoma viride,t,35,120,0,25,g,graze,1,2,dam,Pomacentridae,,,1,0.008333333,0.0138,3.04,682.0966887
3/26/17,9:30,MWW,Antigua,Pillars,1,stop,Sparisoma viride,t,35,120,0,26,s,swim,,1,stop,Sparisoma viride,30,i,49,0.408333333,0.0138,3.04,682.0966887
3/26/17,9:30,MWW,Antigua,Pillars,1,stop,Sparisoma viride,t,35,120,1,15,g,graze,4,,,#N/A,,,11,0.091666667,0.0138,3.04,682.0966887
3/26/17,9:30,MWW,Antigua,Pillars,1,stop,Sparisoma viride,t,35,120,1,26,s,swim,,,,#N/A,,,34,0.283333333,0.0138,3.04,682.0966887
3/26/17,9:30,MWW,Antigua,Pillars,1,stop,Sparisoma viride,t,35,120,2,0,e,end,,,,#N/A,,,-120,-1,0.0138,3.04,682.0966887
3/26/17,9:30,MWW,Antigua,Pillars,2,qup,Scarus vetula,t,34,120,0,0,s,swim,,,,#N/A,,,36,0.3,0.0138,3.03,602.9207144
3/26/17,9:30,MWW,Antigua,Pillars,2,qup,Scarus vetula,t,34,120,0,36,g,graze,1,,,#N/A,,,1,0.008333333,0.0138,3.03,602.9207144
3/26/17,9:30,MWW,Antigua,Pillars,2,qup,Scarus vetula,t,34,120,0,37,s,swim,,,,#N/A,,,15,0.125,0.0138,3.03,602.9207144
3/26/17,9:30,MWW,Antigua,Pillars,2,qup,Scarus vetula,t,34,120,0,52,g,graze,14,,,#N/A,,,17,0.141666667,0.0138,3.03,602.9207144
3/26/17,9:30,MWW,Antigua,Pillars,2,qup,Scarus vetula,t,34,120,1,9,s,swim,,,,#N/A,,,31,0.258333333,0.0138,3.03,602.9207144
3/26/17,9:30,MWW,Antigua,Pillars,2,qup,Scarus vetula,t,34,120,1,40,g,graze,12,,,#N/A,,,20,0.166666667,0.0138,3.03,602.9207144
3/26/17,9:30,MWW,Antigua,Pillars,2,qup,Scarus vetula,t,34,120,2,0,e,end,,,,#N/A,,,-120,-1,0.0138,3.03,602.9207144
3/26/17,9:30,MWW,Antigua,Pillars,3,qup,Scarus vetula,i,20,120,0,0,g,graze,5,,,#N/A,,,5,0.041666667,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,3,qup,Scarus vetula,i,20,120,0,5,s,swim,,,,#N/A,,,5,0.041666667,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,3,qup,Scarus vetula,i,20,120,0,10,g,graze,2,,,#N/A,,,2,0.016666667,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,3,qup,Scarus vetula,i,20,120,0,12,s,swim,,,,#N/A,,,6,0.05,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,3,qup,Scarus vetula,i,20,120,0,18,g,graze,24,,,#N/A,,,35,0.291666667,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,3,qup,Scarus vetula,i,20,120,0,53,s,swim,,,,#N/A,,,7,0.058333333,0.0138,3.03,120.7813761
3/26/17,9:30,MWW,Antigua,Pillars,3,qup,Scarus vetula,i,20,120,1,0,g,graze,3,,,#N/A,,,5,0.041666667,0.0138,3.03,120.7813761
