"","fishID","Date","Island","Site","Species","Species.Code","Phase","Length.cm","Weight.g","Follow.sec","g.sec","g.frac","swim.frac","clean.frac","Bites","BR","FR","TDB","for.dur","for.bites","int.tot","int.scar","int.con","int.hetscar","int.dam","tot.BM","tot.BM.se","tot.DEN","tot.DEN.se","tot.L","tot.L.se","herb.BM","herb.BM.se","herb.DEN","herb.DEN.se","herb.L.s","herb.L.se","acan.BM","acan.BM.se","acan.DEN","acan.DEN.se","acan.L","acan.L.se","scar.BM","scar.BM.se","scar.DEN","scar.DEN.se","scar.L","scar.L.se","viride.BM","viride.BM.se","viride.DEN","viride.DEN.se","viride.L.n","viride.L","viride.L.se","vetula.BM","vetula.BM.se","vetula.DEN","vetula.DEN.se","vetula.L.n","vetula.L","vetula.L.se","aurofren.BM","aurofren.BM.se","aurofren.DEN","aurofren.DEN.se","aurofren.L.n","aurofren.L","aurofren.L.se","juvenile.BM","juvenile.BM.se","juvenile.DEN","juvenile.DEN.se","juvenile.L.n","juvenile.L","juvenile.L.se","intial.BM","intial.BM.se","intial.DEN","intial.DEN.se","intial.L.n","intial.L","intial.L.se","terminal.BM","terminal.BM.se","terminal.DEN","terminal.DEN.se","terminal.L.n","terminal.L","terminal.L.se","carn.BM","carn.BM.se","carn.DEN","carn.DEN.se","cover_AINV","cover_BC","cover_CCA","cover_CY","cover_LC","cover_MA","cover_OINV","cover_PEY","cover_TA","cover.se_AINV","cover.se_BC","cover.se_CCA","cover.se_CY","cover.se_LC","cover.se_MA","cover.se_OINV","cover.se_PEY","cover.se_TA","canopy_MA","canopy_TA","canopy.se_MA","canopy.se_TA","rugosity","rugosity.se","Spearfishing","Spear.binary","Diving","conspec.BM","conspec.BM.se","conspec.DEN","conspec.DEN.se","conspec.L","conspec.L.se"
"1","18th Palm.MWW.3/11/17.11:20.1","3/11/17","Bonaire","18th Palm","Scarus vetula","qup","t",40,986.5539963,120,43,0.358333333,0.408333333,0.233333333,36,0.837209302325581,1080,11340,8.6,7.2,1,1,1,0,0,12949.8601165606,2619.31075654865,70.1190476190476,13.2155369063025,15.4642205154651,0.736969707244816,4863.04673950714,1772.02759513569,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,2116.0974352369,1753.80183384139,15,11.8383065784555,14.4410540915395,0.487838981249728,2746.94930427024,183.676893903817,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,869.566789180833,138.528240036327,2.85714285714286,0.652050663696626,7,23.7333333333333,1.13340335918118,709.13124216119,120.947474786546,2.02380952380952,0.247817380888825,7,24.952380952381,2.258937067345,208.931234634167,55.1261556074118,2.26190476190476,0.595238095238095,7,15.5,0.961562881252794,15.9416909714286,7.37799684704751,2.14285714285714,1.25800535588471,4,7.32386363636364,1.76743516115813,846.410351103571,98.4876807439044,8.57142857142857,0.827644984706913,7,15.4913380270523,0.491549335082204,1834.83480864762,155.682477321171,5.95238095238095,0.461069445977073,7,23.2522108843537,0.561296008292677,1629.7147687125,368.048831290301,10.8333333333333,1.42028017207724,NA,NA,7.6,NA,44.6,5.4,NA,NA,34.3,NA,NA,3.42,NA,2.73,0.9,NA,NA,2.34,2.75,1.75,0.85,0.25,1.77,0.1,"None","No","High",709.13124216119,120.947474786546,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345
"2","18th Palm.MWW.3/11/17.11:20.10","3/11/17","Bonaire","18th Palm","Scarus vetula","qup","t",24,209.8549167,120,117,0.975,0.025,0,75,0.641025641025641,2250,23625,117,75,1,0,0,0,1,12949.8601165606,2619.31075654865,70.1190476190476,13.2155369063025,15.4642205154651,0.736969707244816,4863.04673950714,1772.02759513569,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,2116.0974352369,1753.80183384139,15,11.8383065784555,14.4410540915395,0.487838981249728,2746.94930427024,183.676893903817,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,869.566789180833,138.528240036327,2.85714285714286,0.652050663696626,7,23.7333333333333,1.13340335918118,709.13124216119,120.947474786546,2.02380952380952,0.247817380888825,7,24.952380952381,2.258937067345,208.931234634167,55.1261556074118,2.26190476190476,0.595238095238095,7,15.5,0.961562881252794,15.9416909714286,7.37799684704751,2.14285714285714,1.25800535588471,4,7.32386363636364,1.76743516115813,846.410351103571,98.4876807439044,8.57142857142857,0.827644984706913,7,15.4913380270523,0.491549335082204,1834.83480864762,155.682477321171,5.95238095238095,0.461069445977073,7,23.2522108843537,0.561296008292677,1629.7147687125,368.048831290301,10.8333333333333,1.42028017207724,NA,NA,7.6,NA,44.6,5.4,NA,NA,34.3,NA,NA,3.42,NA,2.73,0.9,NA,NA,2.34,2.75,1.75,0.85,0.25,1.77,0.1,"None","No","High",709.13124216119,120.947474786546,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345
"3","18th Palm.MWW.3/11/17.11:20.11","3/11/17","Bonaire","18th Palm","Scarus vetula","qup","i",29,372.3445659,120,78,0.65,0.35,0,55,0.705128205128205,1650,17325,19.5,13.75,2,0,0,0,2,12949.8601165606,2619.31075654865,70.1190476190476,13.2155369063025,15.4642205154651,0.736969707244816,4863.04673950714,1772.02759513569,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,2116.0974352369,1753.80183384139,15,11.8383065784555,14.4410540915395,0.487838981249728,2746.94930427024,183.676893903817,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,869.566789180833,138.528240036327,2.85714285714286,0.652050663696626,7,23.7333333333333,1.13340335918118,709.13124216119,120.947474786546,2.02380952380952,0.247817380888825,7,24.952380952381,2.258937067345,208.931234634167,55.1261556074118,2.26190476190476,0.595238095238095,7,15.5,0.961562881252794,15.9416909714286,7.37799684704751,2.14285714285714,1.25800535588471,4,7.32386363636364,1.76743516115813,846.410351103571,98.4876807439044,8.57142857142857,0.827644984706913,7,15.4913380270523,0.491549335082204,1834.83480864762,155.682477321171,5.95238095238095,0.461069445977073,7,23.2522108843537,0.561296008292677,1629.7147687125,368.048831290301,10.8333333333333,1.42028017207724,NA,NA,7.6,NA,44.6,5.4,NA,NA,34.3,NA,NA,3.42,NA,2.73,0.9,NA,NA,2.34,2.75,1.75,0.85,0.25,1.77,0.1,"None","No","High",709.13124216119,120.947474786546,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345
"4","18th Palm.MWW.3/11/17.11:20.12","3/11/17","Bonaire","18th Palm","Sparisoma viride","stop","i",23,190.3407201,120,76,0.633333333,0.366666667,0,31,0.407894736842105,930,9765,12.6666666666667,5.16666666666667,1,0,0,0,1,12949.8601165606,2619.31075654865,70.1190476190476,13.2155369063025,15.4642205154651,0.736969707244816,4863.04673950714,1772.02759513569,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,2116.0974352369,1753.80183384139,15,11.8383065784555,14.4410540915395,0.487838981249728,2746.94930427024,183.676893903817,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,869.566789180833,138.528240036327,2.85714285714286,0.652050663696626,7,23.7333333333333,1.13340335918118,709.13124216119,120.947474786546,2.02380952380952,0.247817380888825,7,24.952380952381,2.258937067345,208.931234634167,55.1261556074118,2.26190476190476,0.595238095238095,7,15.5,0.961562881252794,15.9416909714286,7.37799684704751,2.14285714285714,1.25800535588471,4,7.32386363636364,1.76743516115813,846.410351103571,98.4876807439044,8.57142857142857,0.827644984706913,7,15.4913380270523,0.491549335082204,1834.83480864762,155.682477321171,5.95238095238095,0.461069445977073,7,23.2522108843537,0.561296008292677,1629.7147687125,368.048831290301,10.8333333333333,1.42028017207724,NA,NA,7.6,NA,44.6,5.4,NA,NA,34.3,NA,NA,3.42,NA,2.73,0.9,NA,NA,2.34,2.75,1.75,0.85,0.25,1.77,0.1,"None","No","High",869.566789180833,138.528240036327,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118
"5","18th Palm.MWW.3/11/17.11:20.13","3/11/17","Bonaire","18th Palm","Scarus vetula","qup","i",24,209.8549167,120,76,0.633333333,0.366666667,0,76,1,2280,23940,12.6666666666667,12.6666666666667,3,1,1,0,2,12949.8601165606,2619.31075654865,70.1190476190476,13.2155369063025,15.4642205154651,0.736969707244816,4863.04673950714,1772.02759513569,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,2116.0974352369,1753.80183384139,15,11.8383065784555,14.4410540915395,0.487838981249728,2746.94930427024,183.676893903817,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,869.566789180833,138.528240036327,2.85714285714286,0.652050663696626,7,23.7333333333333,1.13340335918118,709.13124216119,120.947474786546,2.02380952380952,0.247817380888825,7,24.952380952381,2.258937067345,208.931234634167,55.1261556074118,2.26190476190476,0.595238095238095,7,15.5,0.961562881252794,15.9416909714286,7.37799684704751,2.14285714285714,1.25800535588471,4,7.32386363636364,1.76743516115813,846.410351103571,98.4876807439044,8.57142857142857,0.827644984706913,7,15.4913380270523,0.491549335082204,1834.83480864762,155.682477321171,5.95238095238095,0.461069445977073,7,23.2522108843537,0.561296008292677,1629.7147687125,368.048831290301,10.8333333333333,1.42028017207724,NA,NA,7.6,NA,44.6,5.4,NA,NA,34.3,NA,NA,3.42,NA,2.73,0.9,NA,NA,2.34,2.75,1.75,0.85,0.25,1.77,0.1,"None","No","High",709.13124216119,120.947474786546,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345
"6","18th Palm.MWW.3/11/17.11:20.14","3/11/17","Bonaire","18th Palm","Sparisoma viride","stop","t",36,743.085332,120,22,0.183333333,0.816666667,0,8,0.363636363636364,240,2520,11,4,1,0,0,0,1,12949.8601165606,2619.31075654865,70.1190476190476,13.2155369063025,15.4642205154651,0.736969707244816,4863.04673950714,1772.02759513569,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,2116.0974352369,1753.80183384139,15,11.8383065784555,14.4410540915395,0.487838981249728,2746.94930427024,183.676893903817,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,869.566789180833,138.528240036327,2.85714285714286,0.652050663696626,7,23.7333333333333,1.13340335918118,709.13124216119,120.947474786546,2.02380952380952,0.247817380888825,7,24.952380952381,2.258937067345,208.931234634167,55.1261556074118,2.26190476190476,0.595238095238095,7,15.5,0.961562881252794,15.9416909714286,7.37799684704751,2.14285714285714,1.25800535588471,4,7.32386363636364,1.76743516115813,846.410351103571,98.4876807439044,8.57142857142857,0.827644984706913,7,15.4913380270523,0.491549335082204,1834.83480864762,155.682477321171,5.95238095238095,0.461069445977073,7,23.2522108843537,0.561296008292677,1629.7147687125,368.048831290301,10.8333333333333,1.42028017207724,NA,NA,7.6,NA,44.6,5.4,NA,NA,34.3,NA,NA,3.42,NA,2.73,0.9,NA,NA,2.34,2.75,1.75,0.85,0.25,1.77,0.1,"None","No","High",869.566789180833,138.528240036327,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118
"7","18th Palm.MWW.3/11/17.11:20.15","3/11/17","Bonaire","18th Palm","Scarus vetula","qup","i",28,334.7864879,120,24,0.2,0.716666666,0.083333333,57,2.375,1710,17955,8,19,2,0,0,0,2,12949.8601165606,2619.31075654865,70.1190476190476,13.2155369063025,15.4642205154651,0.736969707244816,4863.04673950714,1772.02759513569,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,2116.0974352369,1753.80183384139,15,11.8383065784555,14.4410540915395,0.487838981249728,2746.94930427024,183.676893903817,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,869.566789180833,138.528240036327,2.85714285714286,0.652050663696626,7,23.7333333333333,1.13340335918118,709.13124216119,120.947474786546,2.02380952380952,0.247817380888825,7,24.952380952381,2.258937067345,208.931234634167,55.1261556074118,2.26190476190476,0.595238095238095,7,15.5,0.961562881252794,15.9416909714286,7.37799684704751,2.14285714285714,1.25800535588471,4,7.32386363636364,1.76743516115813,846.410351103571,98.4876807439044,8.57142857142857,0.827644984706913,7,15.4913380270523,0.491549335082204,1834.83480864762,155.682477321171,5.95238095238095,0.461069445977073,7,23.2522108843537,0.561296008292677,1629.7147687125,368.048831290301,10.8333333333333,1.42028017207724,NA,NA,7.6,NA,44.6,5.4,NA,NA,34.3,NA,NA,3.42,NA,2.73,0.9,NA,NA,2.34,2.75,1.75,0.85,0.25,1.77,0.1,"None","No","High",709.13124216119,120.947474786546,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345
"8","18th Palm.MWW.3/11/17.11:20.16","3/11/17","Bonaire","18th Palm","Scarus vetula","qup","i",24,209.8549167,120,83,0.691666667,0.308333333,0,80,0.963855421686747,2400,25200,27.6666666666667,26.6666666666667,2,0,0,0,2,12949.8601165606,2619.31075654865,70.1190476190476,13.2155369063025,15.4642205154651,0.736969707244816,4863.04673950714,1772.02759513569,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,2116.0974352369,1753.80183384139,15,11.8383065784555,14.4410540915395,0.487838981249728,2746.94930427024,183.676893903817,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,869.566789180833,138.528240036327,2.85714285714286,0.652050663696626,7,23.7333333333333,1.13340335918118,709.13124216119,120.947474786546,2.02380952380952,0.247817380888825,7,24.952380952381,2.258937067345,208.931234634167,55.1261556074118,2.26190476190476,0.595238095238095,7,15.5,0.961562881252794,15.9416909714286,7.37799684704751,2.14285714285714,1.25800535588471,4,7.32386363636364,1.76743516115813,846.410351103571,98.4876807439044,8.57142857142857,0.827644984706913,7,15.4913380270523,0.491549335082204,1834.83480864762,155.682477321171,5.95238095238095,0.461069445977073,7,23.2522108843537,0.561296008292677,1629.7147687125,368.048831290301,10.8333333333333,1.42028017207724,NA,NA,7.6,NA,44.6,5.4,NA,NA,34.3,NA,NA,3.42,NA,2.73,0.9,NA,NA,2.34,2.75,1.75,0.85,0.25,1.77,0.1,"None","No","High",709.13124216119,120.947474786546,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345
"9","18th Palm.MWW.3/11/17.11:20.17","3/11/17","Bonaire","18th Palm","Scarus vetula","qup","t",50,1939.805559,120,54,0.45,0.55,0,32,0.592592592592593,960,10080,27,16,3,1,0,0,2,12949.8601165606,2619.31075654865,70.1190476190476,13.2155369063025,15.4642205154651,0.736969707244816,4863.04673950714,1772.02759513569,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,2116.0974352369,1753.80183384139,15,11.8383065784555,14.4410540915395,0.487838981249728,2746.94930427024,183.676893903817,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,869.566789180833,138.528240036327,2.85714285714286,0.652050663696626,7,23.7333333333333,1.13340335918118,709.13124216119,120.947474786546,2.02380952380952,0.247817380888825,7,24.952380952381,2.258937067345,208.931234634167,55.1261556074118,2.26190476190476,0.595238095238095,7,15.5,0.961562881252794,15.9416909714286,7.37799684704751,2.14285714285714,1.25800535588471,4,7.32386363636364,1.76743516115813,846.410351103571,98.4876807439044,8.57142857142857,0.827644984706913,7,15.4913380270523,0.491549335082204,1834.83480864762,155.682477321171,5.95238095238095,0.461069445977073,7,23.2522108843537,0.561296008292677,1629.7147687125,368.048831290301,10.8333333333333,1.42028017207724,NA,NA,7.6,NA,44.6,5.4,NA,NA,34.3,NA,NA,3.42,NA,2.73,0.9,NA,NA,2.34,2.75,1.75,0.85,0.25,1.77,0.1,"None","No","High",709.13124216119,120.947474786546,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345
"10","18th Palm.MWW.3/11/17.11:20.18","3/11/17","Bonaire","18th Palm","Sparisoma viride","stop","i",20,124.4544051,120,82,0.683333333,0.316666667,0,14,0.170731707317073,420,4410,41,7,2,0,0,0,2,12949.8601165606,2619.31075654865,70.1190476190476,13.2155369063025,15.4642205154651,0.736969707244816,4863.04673950714,1772.02759513569,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,2116.0974352369,1753.80183384139,15,11.8383065784555,14.4410540915395,0.487838981249728,2746.94930427024,183.676893903817,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,869.566789180833,138.528240036327,2.85714285714286,0.652050663696626,7,23.7333333333333,1.13340335918118,709.13124216119,120.947474786546,2.02380952380952,0.247817380888825,7,24.952380952381,2.258937067345,208.931234634167,55.1261556074118,2.26190476190476,0.595238095238095,7,15.5,0.961562881252794,15.9416909714286,7.37799684704751,2.14285714285714,1.25800535588471,4,7.32386363636364,1.76743516115813,846.410351103571,98.4876807439044,8.57142857142857,0.827644984706913,7,15.4913380270523,0.491549335082204,1834.83480864762,155.682477321171,5.95238095238095,0.461069445977073,7,23.2522108843537,0.561296008292677,1629.7147687125,368.048831290301,10.8333333333333,1.42028017207724,NA,NA,7.6,NA,44.6,5.4,NA,NA,34.3,NA,NA,3.42,NA,2.73,0.9,NA,NA,2.34,2.75,1.75,0.85,0.25,1.77,0.1,"None","No","High",869.566789180833,138.528240036327,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118
