region,site,lat,lon
Antigua,Mermaid's Garden,16.998131,61.756123
Antigua,Pillars,17.000729,61.762318
Antigua,Snapper Point,17.002349,61.767316
Antigua,Windward,17.004096,61.775247
Antigua,Turtle Bay,17.009678,61.79207
Antigua,Rendezvous,17.012712,61.803848
Barbuda,Pallaster West,17.524133,-61.76105
Barbuda,Pallaster  East,17.52775,-61.7474
Barbuda,Pallaster Mid,17.52275,-61.755933
Bonaire,18th Palm,12.138926,68.277464
Bonaire,Front Porch,12.165268,68.287505
Bonaire,Karpata,12.218615,68.352396
Bonaire,Oil Slick,12.199803,68.308883
