Date,Site,Surveyor,Transect,Meter,Rugosity cm
8/7/17,Rendezvous,AC,1,1,117
8/7/17,Rendezvous,AC,1,2,115
8/7/17,Rendezvous,AC,1,3,122
8/7/17,Rendezvous,AC,1,4,130
8/7/17,Rendezvous,AC,1,5,116
8/7/17,Rendezvous,AC,1,6,134
8/7/17,Rendezvous,AC,1,7,135
8/7/17,Rendezvous,AC,1,8,135
8/7/17,Rendezvous,AC,1,9,126
8/7/17,Rendezvous,AC,1,10,109
8/7/17,Rendezvous,AC,2,1,127
8/7/17,Rendezvous,AC,2,2,120
8/7/17,Rendezvous,AC,2,3,104
8/7/17,Rendezvous,AC,2,4,125
8/7/17,Rendezvous,AC,2,5,147
8/7/17,Rendezvous,AC,2,6,120
8/7/17,Rendezvous,AC,2,7,139
8/7/17,Rendezvous,AC,2,8,100
8/7/17,Rendezvous,AC,2,9,105
8/7/17,Rendezvous,AC,2,10,102
8/7/17,Rendezvous,AC,3,1,111
8/7/17,Rendezvous,AC,3,2,140
8/7/17,Rendezvous,AC,3,3,120
8/7/17,Rendezvous,AC,3,4,100
8/7/17,Rendezvous,AC,3,5,131
8/7/17,Rendezvous,AC,3,6,118
8/7/17,Rendezvous,AC,3,7,120
8/7/17,Rendezvous,AC,3,8,136
8/7/17,Rendezvous,AC,3,9,130
8/7/17,Rendezvous,AC,3,10,111
8/7/17,Rendezvous,AC,4,1,100
8/7/17,Rendezvous,AC,4,2,143
8/7/17,Rendezvous,AC,4,3,137
8/7/17,Rendezvous,AC,4,4,167
8/7/17,Rendezvous,AC,4,5,176
8/7/17,Rendezvous,AC,4,6,152
8/7/17,Rendezvous,AC,4,7,143
8/7/17,Rendezvous,AC,4,8,121
8/7/17,Rendezvous,AC,4,9,128
8/7/17,Rendezvous,AC,4,10,175
8/7/17,Rendezvous,AC,5,1,126
8/7/17,Rendezvous,AC,5,2,129
8/7/17,Rendezvous,AC,5,3,105
8/7/17,Rendezvous,AC,5,4,103
8/7/17,Rendezvous,AC,5,5,127
8/7/17,Rendezvous,AC,5,6,120
8/7/17,Rendezvous,AC,5,7,118
8/7/17,Rendezvous,AC,5,8,144
8/7/17,Rendezvous,AC,5,9,114
8/7/17,Rendezvous,AC,5,10,106
8/7/17,Turtle Bay,AC,1,1,145
8/7/17,Turtle Bay,AC,1,2,154
8/7/17,Turtle Bay,AC,1,3,167
8/7/17,Turtle Bay,AC,1,4,116
8/7/17,Turtle Bay,AC,1,5,136
8/7/17,Turtle Bay,AC,1,6,124
8/7/17,Turtle Bay,AC,1,7,107
8/7/17,Turtle Bay,AC,1,8,130
8/7/17,Turtle Bay,AC,1,9,150
8/7/17,Turtle Bay,AC,1,10,120
8/7/17,Turtle Bay,AC,2,1,124
8/7/17,Turtle Bay,AC,2,2,144
8/7/17,Turtle Bay,AC,2,3,160
8/7/17,Turtle Bay,AC,2,4,171
8/7/17,Turtle Bay,AC,2,5,103
8/7/17,Turtle Bay,AC,2,6,280
8/7/17,Turtle Bay,AC,2,7,158
8/7/17,Turtle Bay,AC,2,8,130
8/7/17,Turtle Bay,AC,2,9,200
8/7/17,Turtle Bay,AC,2,10,122
8/7/17,Turtle Bay,AC,3,1,120
8/7/17,Turtle Bay,AC,3,2,134
8/7/17,Turtle Bay,AC,3,3,137
8/7/17,Turtle Bay,AC,3,4,140
8/7/17,Turtle Bay,AC,3,5,128
8/7/17,Turtle Bay,AC,3,6,140
8/7/17,Turtle Bay,AC,3,7,126
8/7/17,Turtle Bay,AC,3,8,115
8/7/17,Turtle Bay,AC,3,9,124
8/7/17,Turtle Bay,AC,3,10,100
8/7/17,Turtle Bay,AC,4,1,150
8/7/17,Turtle Bay,AC,4,2,200
8/7/17,Turtle Bay,AC,4,3,133
8/7/17,Turtle Bay,AC,4,4,112
