"","Island","Site","Species","N"
"1","Bonaire","18th Palm","Scarus vetula",26
"2","Bonaire","18th Palm","Sparisoma viride",19
"3","Bonaire","Front Porch","Scarus vetula",18
"4","Bonaire","Front Porch","Sparisoma viride",20
"5","Bonaire","Karpata","Scarus vetula",32
"6","Bonaire","Karpata","Sparisoma viride",20
"7","Bonaire","Oil Slick","Scarus vetula",32
"8","Bonaire","Oil Slick","Sparisoma viride",30
"9","Antigua","Mermaid Gardens","Scarus vetula",13
"10","Antigua","Mermaid Gardens","Sparisoma viride",12
"11","Antigua","Pillars","Scarus vetula",9
"12","Antigua","Pillars","Sparisoma viride",15
"13","Antigua","Rendezvous","Sparisoma viride",17
"14","Antigua","Snapper Point","Scarus vetula",8
"15","Antigua","Snapper Point","Sparisoma viride",10
"16","Antigua","Turtle Bay","Sparisoma viride",11
"17","Antigua","Windward","Scarus vetula",7
"18","Antigua","Windward","Sparisoma viride",11
"19","Barbuda","Pallaster East","Sparisoma viride",17
"20","Barbuda","Pallaster Mid","Scarus vetula",8
"21","Barbuda","Pallaster Mid","Sparisoma viride",12
"22","Barbuda","Pallaster West","Scarus vetula",10
