"","Site","cover_AINV","cover_BC","cover_CCA","cover_CY","cover_LC","cover_MA","cover_OINV","cover_PEY","cover_TA","cover.se_AINV","cover.se_BC","cover.se_CCA","cover.se_CY","cover.se_LC","cover.se_MA","cover.se_OINV","cover.se_PEY","cover.se_TA","canopy_MA","canopy_TA","canopy.se_MA","canopy.se_TA","rugosity","rugosity.se"
"1","Mermaid Gardens",0.8,0,1.8,3.71111111111111,10.8222222222222,15.4944444444444,6.14444444444444,0.4,60.8277777777778,0.58309518948453,0,0.8,1.3705905728986,2.72813416997455,4.02638290022934,1.16316936125526,0.244948974278318,4.70392205675747,13.5396428571429,3.60173544973545,1.11005511114234,0.203134301911599,1.3552,0.077945750365238
"2","Pallaster East",3,0,0.8,44.0814814814815,5.60740740740741,31.8148148148148,3.05925925925926,0.533333333333333,11.1037037037037,2.28035085019828,0,0.374165738677394,7.20194113446176,2.06155613976945,4.80527545033946,0.859355039361653,0.343187671366233,2.7954352365715,26.9940158730159,4.03125,3.59541585562159,0.75065075934152,1.7474,0.126151734034852
"3","Pallaster Mid",3.2,0,1.4,41.4888888888889,10.4888888888889,16.5111111111111,5.22222222222222,0.2,21.4888888888889,1.15758369027902,0,0.678232998312527,7.71255189869886,1.83504970161775,3.07771760871792,1.43544203197499,0.2,2.57782567005319,16.2402777777778,3.5,2.51280647353846,0.340206908719886,1.6538,0.12220777389348
"4","Pallaster West",0.6,0.2,0,40.6055555555556,6.48888888888889,19.0888888888889,2.6,0.2,30.2166666666667,0.4,0.2,0,4.82701055149018,1.54384480765505,3.7957741284971,0.92736184954957,0.2,5.20226980375981,18.4503174603175,4,3.42980795603316,NA,1.7006,NA
"5","Pillars",2.85185185185185,0,0,6.52491181657848,6.02083333333333,26.6955467372134,8.32561728395062,0,49.5812389770723,1.17501422809002,0,0,2.17044133345004,2.31444557240242,3.99661018590312,2.95036908468473,0,3.42645056186286,16.3847767857143,3.37465608465608,1.58282613019324,0.338330066000778,1.2055,0.0523617226607376
"6","Rendezvous",3.24444444444444,0,0,0.4,6.85714285714286,23.7222222222222,2.4,0,63.3761904761905,1.05080803711439,0,0,0.244948974278318,1.42642696187047,4.37896205075761,0.678232998312527,0,4.82696925090226,16.1023611111111,3.45021957671958,1.71125683677809,0.105884819960755,1.2558,0.0474293158289259
"7","Snapper Point",16.0277777777778,0,2.25,9.28472222222222,7.55555555555556,18.0694444444444,2.11111111111111,1,43.7013888888889,3.35835516030036,0,1.10867789130417,2.58264564223869,2.66164650919646,2.72688329227929,0.387563880304747,0.408248290463863,5.79426261876932,17.3813657407407,6.44375,2.88003887602814,1.56101311528695,1.3735,0.0300846029279652
"8","Turtle Bay",4.68571428571429,0,0,4.06666666666667,6.82222222222222,12.0825396825397,2.02222222222222,0,70.3206349206349,0.755118587794429,0,0,0.901713047345488,1.24206120999841,2.82482783641173,0.699558943942097,0,3.99439453543482,18.9786904761905,3.12230952380952,1.65954362647866,0.21740366883224,1.3192,0.0772886796368006
"9","Windward",2.25,0,0.527777777777778,0.527777777777778,4.73611111111111,14.5952380952381,3.8125,0.277777777777778,73.2728174603175,1.03077640640442,0,0.527777777777778,0.305555555555556,1.09728082356401,3.2357629679176,0.909298035116466,0.277777777777778,5.1618187170174,18.4034722222222,3.49783234126984,2.24025592828775,0.25267467421257,1.20475,0.0370368622681062
"10","18th Palm",NA,NA,7.6,NA,44.6,5.4,NA,NA,34.3,NA,NA,3.42,NA,2.73,0.9,NA,NA,2.34,2.75,1.75,0.85,0.25,1.77,0.1
"11","Front Porch",NA,NA,6.7,NA,44.9,0.88,NA,NA,32.1,NA,NA,1.2,NA,3.99,0.36,NA,NA,2.43,5.75,1.63,3.25,0.24,1.9,0.1
"12","Karpata",NA,NA,7.6,NA,59.8,7.91,NA,NA,21,NA,NA,0.78,NA,3.5,2.52,NA,NA,2.67,11.25,1.63,3.15,0.24,1.97,0.11
"13","Oil Slick",NA,NA,9.8,NA,46.7,9.02,NA,NA,25.6,NA,NA,1.91,NA,7.64,2.41,NA,NA,4.1,13.75,1.38,3.75,0.24,1.68,0.07
