"","Site","tot.BM","tot.BM.se","tot.DEN","tot.DEN.se","tot.L","tot.L.se","herb.BM","herb.BM.se","herb.DEN","herb.DEN.se","herb.L.s","herb.L.se","acan.BM","acan.BM.se","acan.DEN","acan.DEN.se","acan.L","acan.L.se","scar.BM","scar.BM.se","scar.DEN","scar.DEN.se","scar.L","scar.L.se","viride.BM","viride.BM.se","viride.DEN","viride.DEN.se","viride.L.n","viride.L","viride.L.se","vetula.BM","vetula.BM.se","vetula.DEN","vetula.DEN.se","vetula.L.n","vetula.L","vetula.L.se","aurofren.BM","aurofren.BM.se","aurofren.DEN","aurofren.DEN.se","aurofren.L.n","aurofren.L","aurofren.L.se","juvenile.BM","juvenile.BM.se","juvenile.DEN","juvenile.DEN.se","juvenile.L.n","juvenile.L","juvenile.L.se","intial.BM","intial.BM.se","intial.DEN","intial.DEN.se","intial.L.n","intial.L","intial.L.se","terminal.BM","terminal.BM.se","terminal.DEN","terminal.DEN.se","terminal.L.n","terminal.L","terminal.L.se","carn.BM","carn.BM.se","carn.DEN","carn.DEN.se"
"1","18th Palm",12949.8601165606,2619.31075654865,70.1190476190476,13.2155369063025,15.4642205154651,0.736969707244816,4863.04673950714,1772.02759513569,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,2116.0974352369,1753.80183384139,15,11.8383065784555,14.4410540915395,0.487838981249728,2746.94930427024,183.676893903817,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,869.566789180833,138.528240036327,2.85714285714286,0.652050663696626,7,23.7333333333333,1.13340335918118,709.13124216119,120.947474786546,2.02380952380952,0.247817380888825,7,24.952380952381,2.258937067345,208.931234634167,55.1261556074118,2.26190476190476,0.595238095238095,7,15.5,0.961562881252794,15.9416909714286,7.37799684704751,2.14285714285714,1.25800535588471,4,7.32386363636364,1.76743516115813,846.410351103571,98.4876807439044,8.57142857142857,0.827644984706913,7,15.4913380270523,0.491549335082204,1834.83480864762,155.682477321171,5.95238095238095,0.461069445977073,7,23.2522108843537,0.561296008292677,1629.7147687125,368.048831290301,10.8333333333333,1.42028017207724
"2","Front Porch",12437.765928556,2092.14234647882,80.8333333333333,23.0061384723166,17.8193333441812,1.03116191380907,5530.56212322708,480.505986710447,19.7916666666667,3.06894163805338,23.003204812429,1.22657725657159,373.097805666667,123.494167547407,1.94444444444444,0.555555555555556,18.2222222222222,0.968644209675705,5250.73876897708,442.396046286348,18.3333333333333,2.65710089857069,23.2579966329966,1.12729937902766,3685.44311238542,160.625801628824,13.125,1.33398421613184,4,22.9880421865716,0.635935131380045,804.2650870625,303.959724914654,1.25,0.416666666666667,4,31.1666666666667,4.09267638593623,252.511304541667,97.230228622493,1.45833333333333,0.524294058004913,3,19.8888888888889,0.484322104837853,0,0,0,0,NA,NA,NA,2884.9499035125,477.788629941018,12.2916666666667,2.97316314286217,4,22.5570175438597,1.51214363284111,1830.2457634375,190.28132184974,3.95833333333333,0.711593803191639,4,28.377380952381,2.14890977209765,3309.77430529375,1448.46340856041,25.625,10.4989803296779
"3","Karpata",5551.17812281024,579.612995901282,59.2857142857143,4.71204051072933,12.9708320262197,0.35623950337696,2658.64251318369,212.782414215136,27.7380952380952,2.45134050975881,13.0632293300354,0.536870395528284,162.58780704,34.451210981439,1.5,0.311804782231162,13.8,0.644204936336256,2542.50836529798,217.106930373769,26.6666666666667,2.5588315785958,13.0639626383469,0.543215043423179,577.026991586786,153.342072068739,4.04761904761905,0.934858649951567,7,13.9326530612245,1.31171263313698,707.969640232143,115.262183683607,2.97619047619048,0.50973145153433,7,23.2857142857143,0.967367210384914,319.141240221071,47.7308200599983,3.21428571428571,0.614759261302765,7,16.047619047619,0.648272312909909,98.8765016546429,31.8940397085548,9.52380952380952,2.19620541301932,7,5.75936008436008,0.592008770964869,1023.94894320119,212.677568347562,10.5952380952381,2.3898642737958,7,15.2427734170591,0.562399085765687,1301.0168884881,182.233039776355,4.88095238095238,0.527941853001987,7,22.9126984126984,0.649380967706515,1255.22959142262,320.706546235542,8.92857142857143,1.32030196504874
"4","Mermaid Gardens",5371.05293935683,876.580691937082,200.5,31.1176084485224,8.33668388538192,1.27141336687897,2946.8111273425,538.801568898839,36,2.39211668240122,15.2920401069519,0.954730670230137,1512.98658597833,246.397816047162,21.6666666666667,2.87469805177672,15.245308025308,0.359955438133172,1433.82454136417,378.228955737483,14.3333333333333,2.34816713393423,16.2445670995671,1.79601413744975,442.872229584,222.047831666284,4,1.09924216318941,5,14.4111111111111,3.86251373404406,459.700006205,125.38291142832,2.5,0.697216688778396,4,22.7208333333333,0.896582374187505,141.8664243135,32.3450185998215,3.66666666666667,0.726483157256779,5,10.4180952380952,0.935309375617455,4.8736465575,3.74686005731517,3.66666666666667,1.43372087784044,5,3.41818181818182,0.524286212919862,1119.05392375167,308.849657235192,8.66666666666667,1.67912013996749,5,19.7342063492063,1.23617009464614,309.896971055,91.5639252298926,2,0.623609564462324,5,20.7266666666667,2.89908797919468,310.553473872,59.0955466591731,4.5,1.00692049779955
"5","Oil Slick",7420.5067518994,698.206078408515,66.3095238095238,12.6038767746502,16.0692211763772,0.848210896023627,3742.48431771548,334.779885044259,18.9285714285714,1.98134725917777,18.9821884464742,0.656329997743847,212.165730395238,55.3883129162679,1.78571428571429,0.382684554007657,14.0595238095238,0.477231006019701,3530.31858732024,363.953918325772,17.1428571428571,1.8621219375635,19.4358374848765,0.690833375229716,983.022497094048,308.604969755687,3.45238095238095,0.423693581429814,7,20.8714285714286,2.05421464506806,1329.60540112738,176.097403222084,3.92857142857143,0.595238095238095,7,25.1690476190476,1.60930013943189,408.060131526191,78.6589236532213,3.0952380952381,0.673435029701474,7,17.5714285714286,0.917998414179117,25.0561228333333,12.6791019907663,1.07142857142857,0.434700442464417,5,9.6,0.678232998312527,1372.00924191786,148.612955115218,10.2380952380952,1.51834337061183,7,17.1952928024357,0.581970675975432,2119.58933475,278.055809684551,5.5952380952381,0.786675698476151,7,25.6137703566275,0.284697514940458,1020.39238374798,205.624139525071,8.80952380952381,1.72379417690266
"6","Pallaster East",4187.9564480125,1066.5391724001,167.666666666667,13.3967243094057,7.65356660690375,0.763072161490573,2388.90923455783,399.168882782138,115.666666666667,8.1453804221916,7.1069219180198,0.680998454159139,1283.319655338,254.896987200172,20,3.80970981688749,14.3009600203718,0.18125673813267,1105.58957921983,162.136733809094,95.6666666666667,10.5751280528102,5.60432963285104,0.472735173638255,454.345455652167,23.5244522022593,9.33333333333333,1.40435829552939,5,11.4735431235431,1.14898382746483,43.781761155,26.3019987272974,0.833333333333333,0.372677996249965,3,13.8333333333333,4.53075907302273,518.589117200333,139.747872452465,16,2.8553069498353,5,8.64433479532164,0.487395141921428,88.848535852,21.0358079294276,81.8333333333333,10.9208007439422,5,3.86697459881905,0.254672190898489,639.268261154,161.476921199035,9.83333333333333,2.24227067451228,5,15.0328947368421,0.503536661004012,373.912351266667,87.428523356931,2.33333333333333,0.552770798392567,5,21.6,0.551764845241561,80.0924290036667,61.7935321225103,1.16666666666667,0.623609564462324
"7","Pallaster Mid",2530.49619960833,220.121463276056,88.6666666666667,7.86430049160268,8.96472648672998,0.611810443192804,1998.68444674317,225.489789913926,68.1666666666667,7.67571929311297,9.05947817006395,0.809857013445952,861.790962024833,143.16005498548,14.8333333333333,2.19532331205325,12.8683982683983,0.49054307438192,1136.89348471833,101.975558500746,53.3333333333333,7.0267346612776,7.99181207320335,0.722800696888613,368.354351297167,55.578981198984,10.8333333333333,1.72803677944398,5,9.0827694235589,0.875727889457402,278.407526883333,105.734458815783,4.16666666666667,1.11803398874989,5,15.14,0.807836617144828,361.926385810333,82.4528973470168,9.5,2.49443825784929,5,10.0866666666667,0.625108879405109,61.7942364753333,12.5184446377386,37.1666666666667,6.7113088639003,5,4.61416655029558,0.306903647527825,638.454668441667,142.417822128046,12.3333333333333,2.16345916429119,5,14.3254796411318,1.02352792563304,390.218674568,87.6010096408352,3.66666666666667,0.97182531580755,5,18.9333333333333,0.77746025264604,250.385695039,142.743260395475,3.83333333333333,2.39501797719999
"8","Pallaster West",2069.45552586133,161.401552663295,108.833333333333,16.3694328958988,7.49099965925406,0.575116934597107,1330.557455939,144.557545989792,87.6666666666667,15.2032525759749,6.78625079522885,0.587607777212677,710.681139803667,146.049394102468,12.8333333333333,2.53585400911716,13.0508823529412,0.675936745878685,619.876316135333,44.7836235027042,74.8333333333333,13.6330888323634,5.77576503673095,0.626748094514922,221.219511389,45.8123268216894,7.83333333333333,1.50462250710565,5,9.88608058608059,0.802376416464258,26.4962129785,11.3801009457511,1.16666666666667,0.772801541291309,3,12.4,2.11974841274462,277.169638416,49.0470043986108,16.6666666666667,6.51387408195427,5,7.96093582887701,1.17234821662181,99.3625274025,15.9949708047871,64.5,13.6869767784319,5,4.26901607466943,0.345233714411619,270.943098604333,73.3152779075464,7.5,1.66666666666667,5,12.4809523809524,0.527390357865178,249.092197296667,55.1049963358992,2.66666666666667,0.311804782231162,5,17.2,0.908906546962399,250.378747374,154.892264356183,2,0.67700320038633
"9","Pillars",4250.74338630167,635.392205718991,152.666666666667,45.4418126105609,9.21719173175567,1.29598714174631,1858.20363294733,333.586963315021,22.1666666666667,4.25408300603341,16.3273042383516,1.1561808668934,934.389147759833,168.752421184733,12,2.08499933386613,16.1767943409248,0.85693404012675,923.8144851875,220.069626965152,10.1666666666667,3.27448045073142,17.3426767676768,1.59692892663857,77.1030939295,61.4519211903409,1,0.408248290463863,4,14.25,5.34438958160799,284.40211799,121.598826595901,2.5,1.23603308118261,3,20.6666666666667,3.08670986290869,105.873420168333,54.8224169865212,1.5,0.927960727138337,3,16.7222222222222,2.69143589195318,24.8739142771667,15.7136828650649,3.16666666666667,2.0138409955991,3,7.07692307692308,1.15725990732274,464.43421559,62.0747976704314,4,0.807946642902722,5,19.08,0.712144648228153,413.791952165,159.358544503589,2.5,0.912870929175277,4,22.1916666666667,0.460147923075951,493.392184228333,82.4393325911567,4,0.311804782231162
"10","Rendezvous",3937.87208667767,1062.9672833795,178,24.1660919471891,7.31650551259768,0.497591990537368,1769.43631936967,517.807485816029,26,6.87891302782965,14.4086518744413,0.803518990366528,1502.94048713283,493.566667759041,21.6666666666667,6.54577896221849,14.12907239819,0.874805655764258,266.495832236833,56.5398414811169,4.33333333333333,0.889756521002609,14.6914285714286,0.880463699723397,93.015764731,39.2541253909466,2.33333333333333,0.716860438920219,4,11.125,0.875,0,0,0,0,NA,NA,NA,44.3199410833333,44.3199410833333,0.333333333333333,0.333333333333333,1,20.5,NA,3.60939923516667,1.33357564107806,1.16666666666667,0.333333333333333,4,5.75,0.520416499866533,220.326489501667,53.3185707264586,2.83333333333333,0.67700320038633,5,17.28,0.907413907762053,23.8433752833333,23.8433752833333,0.166666666666667,0.166666666666667,1,21,NA,650.641589195,222.172421008487,6.83333333333333,2.19532331205325
