"","id","date","island","site","species","species_code","phase","length_cm","weight_g","follow_sec","g_sec","g_frac","clean_frac","bites","br","fr","tdb","for_dur","for_bites","int_tot","int_scar","int_con","int_hetscar","int_dam","tot_bm","tot_bm_se","tot_den","tot_den_se","tot_l","tot_l_se","herb_bm","herb_bm_se","herb_den","herb_den_se","herb_l","herb_l_se","acan_bm","acan_bm_se","acan_den","acan_den_se","acan_l","acan_l_se","scar_bm","scar_bm_se","scar_den","scar_den_se","scar_l","scar_l_se","vir_bm","vir_bm_se","vir_den","vir_den_se","vir_l","vir_l_se","vet_bm","vet_bm_se","vet_den","vet_den_se","vet_l","vet_l_se","aur_bm","aur_bm_se","aur_den","aur_den_se","aur_l","aur_l_se","juv_bm","juv_bm_se","juv_den","juv_den_se","juv_l","juv_l_se","init_bm","init_bm_se","init_den","init_den_se","init_l","init_l_se","term_bm","term_bm_se","term_den","term_den_se","term_l","term_l_se","carn_bm","carn_bm_se","carn_den","carn_den_se","carn_l","carn_l_se","carn30_bm","carn30_bm_se","carn30_den","carn30_den_se","carn30_l","carn30_l_se","cca_cover","cca_cover_se","lc_cover","lc_cover_se","ma_cover","ma_cover_se","ma_canopy","ma_canopy_se","ta_cover","ta_cover_se","ta_canopy","ta_canopy_se","rugosity","rugosity_se","ma_ind","ta_ind","spear_daily","spear_binary","diving","consp_bm","consp_bm_se","consp_den","consp_den_se","consp_l","consp_l_se"
"1","18th Palm_MWW_3/11/17_11:20_1","3/11/17","Bonaire","18th Palm","Scarus vetula","qup","t",40,986.5539963,120,43,0.358333333,0.233333333,36,0.837209302325581,18,11340,8.6,7.2,1,1,1,0,0,6581.44515970012,1251.51355747292,115.595238095238,20.202115542962,11.6812183427053,1.25786640577897,3726.79127174964,1191.91232527091,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,1426.14214194167,1174.83205027551,15,11.8383065784555,14.4410540915395,0.487838981249729,2300.64912980798,171.005838897422,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118,745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345,143.95103632119,37.8016446470664,2.26190476190476,0.595238095238095,15.5,0.961562881252794,13.1665324055952,5.45286894041756,2.14285714285714,1.66418465982913,7.32386363636364,1.76743516115813,651.403702897619,94.970335176938,8.45238095238095,0.898789813722708,15.5525625168482,0.517118797899933,1391.411247975,274.439044213645,5.23809523809524,1.05252279443451,23.1275793650794,0.647555612021173,1636.92167974619,294.243033361813,11.3095238095238,1.35909077694791,17.5080974925695,1.32833026757705,593.811846083333,301.61032937114,0.833333333333333,0.445435403187374,33.3125,0.623957463827997,7.6,3.42,44.6,2.73,5.4,0.9,2.75,0.85,34.3,2.34,1.75,0.25,1.77,0.1,14.85,60.025,0,"No","High",745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345
"2","18th Palm_MWW_3/11/17_11:20_10","3/11/17","Bonaire","18th Palm","Scarus vetula","qup","t",24,209.8549167,120,117,0.975,0,75,0.641025641025641,37.5,23625,117,75,1,0,0,0,1,6581.44515970012,1251.51355747292,115.595238095238,20.202115542962,11.6812183427053,1.25786640577897,3726.79127174964,1191.91232527091,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,1426.14214194167,1174.83205027551,15,11.8383065784555,14.4410540915395,0.487838981249729,2300.64912980798,171.005838897422,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118,745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345,143.95103632119,37.8016446470664,2.26190476190476,0.595238095238095,15.5,0.961562881252794,13.1665324055952,5.45286894041756,2.14285714285714,1.66418465982913,7.32386363636364,1.76743516115813,651.403702897619,94.970335176938,8.45238095238095,0.898789813722708,15.5525625168482,0.517118797899933,1391.411247975,274.439044213645,5.23809523809524,1.05252279443451,23.1275793650794,0.647555612021173,1636.92167974619,294.243033361813,11.3095238095238,1.35909077694791,17.5080974925695,1.32833026757705,593.811846083333,301.61032937114,0.833333333333333,0.445435403187374,33.3125,0.623957463827997,7.6,3.42,44.6,2.73,5.4,0.9,2.75,0.85,34.3,2.34,1.75,0.25,1.77,0.1,14.85,60.025,0,"No","High",745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345
"3","18th Palm_MWW_3/11/17_11:20_11","3/11/17","Bonaire","18th Palm","Scarus vetula","qup","i",29,372.3445659,120,78,0.65,0,55,0.705128205128205,27.5,17325,19.5,13.75,2,0,0,0,2,6581.44515970012,1251.51355747292,115.595238095238,20.202115542962,11.6812183427053,1.25786640577897,3726.79127174964,1191.91232527091,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,1426.14214194167,1174.83205027551,15,11.8383065784555,14.4410540915395,0.487838981249729,2300.64912980798,171.005838897422,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118,745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345,143.95103632119,37.8016446470664,2.26190476190476,0.595238095238095,15.5,0.961562881252794,13.1665324055952,5.45286894041756,2.14285714285714,1.66418465982913,7.32386363636364,1.76743516115813,651.403702897619,94.970335176938,8.45238095238095,0.898789813722708,15.5525625168482,0.517118797899933,1391.411247975,274.439044213645,5.23809523809524,1.05252279443451,23.1275793650794,0.647555612021173,1636.92167974619,294.243033361813,11.3095238095238,1.35909077694791,17.5080974925695,1.32833026757705,593.811846083333,301.61032937114,0.833333333333333,0.445435403187374,33.3125,0.623957463827997,7.6,3.42,44.6,2.73,5.4,0.9,2.75,0.85,34.3,2.34,1.75,0.25,1.77,0.1,14.85,60.025,0,"No","High",745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345
"4","18th Palm_MWW_3/11/17_11:20_12","3/11/17","Bonaire","18th Palm","Sparisoma viride","stop","i",23,190.3407201,120,76,0.633333333,0,31,0.407894736842105,15.5,9765,12.6666666666667,5.16666666666667,1,0,0,0,1,6581.44515970012,1251.51355747292,115.595238095238,20.202115542962,11.6812183427053,1.25786640577897,3726.79127174964,1191.91232527091,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,1426.14214194167,1174.83205027551,15,11.8383065784555,14.4410540915395,0.487838981249729,2300.64912980798,171.005838897422,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118,745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345,143.95103632119,37.8016446470664,2.26190476190476,0.595238095238095,15.5,0.961562881252794,13.1665324055952,5.45286894041756,2.14285714285714,1.66418465982913,7.32386363636364,1.76743516115813,651.403702897619,94.970335176938,8.45238095238095,0.898789813722708,15.5525625168482,0.517118797899933,1391.411247975,274.439044213645,5.23809523809524,1.05252279443451,23.1275793650794,0.647555612021173,1636.92167974619,294.243033361813,11.3095238095238,1.35909077694791,17.5080974925695,1.32833026757705,593.811846083333,301.61032937114,0.833333333333333,0.445435403187374,33.3125,0.623957463827997,7.6,3.42,44.6,2.73,5.4,0.9,2.75,0.85,34.3,2.34,1.75,0.25,1.77,0.1,14.85,60.025,0,"No","High",770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118
"5","18th Palm_MWW_3/11/17_11:20_13","3/11/17","Bonaire","18th Palm","Scarus vetula","qup","i",24,209.8549167,120,76,0.633333333,0,76,1,38,23940,12.6666666666667,12.6666666666667,3,1,1,0,2,6581.44515970012,1251.51355747292,115.595238095238,20.202115542962,11.6812183427053,1.25786640577897,3726.79127174964,1191.91232527091,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,1426.14214194167,1174.83205027551,15,11.8383065784555,14.4410540915395,0.487838981249729,2300.64912980798,171.005838897422,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118,745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345,143.95103632119,37.8016446470664,2.26190476190476,0.595238095238095,15.5,0.961562881252794,13.1665324055952,5.45286894041756,2.14285714285714,1.66418465982913,7.32386363636364,1.76743516115813,651.403702897619,94.970335176938,8.45238095238095,0.898789813722708,15.5525625168482,0.517118797899933,1391.411247975,274.439044213645,5.23809523809524,1.05252279443451,23.1275793650794,0.647555612021173,1636.92167974619,294.243033361813,11.3095238095238,1.35909077694791,17.5080974925695,1.32833026757705,593.811846083333,301.61032937114,0.833333333333333,0.445435403187374,33.3125,0.623957463827997,7.6,3.42,44.6,2.73,5.4,0.9,2.75,0.85,34.3,2.34,1.75,0.25,1.77,0.1,14.85,60.025,0,"No","High",745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345
"6","18th Palm_MWW_3/11/17_11:20_14","3/11/17","Bonaire","18th Palm","Sparisoma viride","stop","t",36,743.085332,120,22,0.183333333,0,8,0.363636363636364,4,2520,11,4,1,0,0,0,1,6581.44515970012,1251.51355747292,115.595238095238,20.202115542962,11.6812183427053,1.25786640577897,3726.79127174964,1191.91232527091,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,1426.14214194167,1174.83205027551,15,11.8383065784555,14.4410540915395,0.487838981249729,2300.64912980798,171.005838897422,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118,745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345,143.95103632119,37.8016446470664,2.26190476190476,0.595238095238095,15.5,0.961562881252794,13.1665324055952,5.45286894041756,2.14285714285714,1.66418465982913,7.32386363636364,1.76743516115813,651.403702897619,94.970335176938,8.45238095238095,0.898789813722708,15.5525625168482,0.517118797899933,1391.411247975,274.439044213645,5.23809523809524,1.05252279443451,23.1275793650794,0.647555612021173,1636.92167974619,294.243033361813,11.3095238095238,1.35909077694791,17.5080974925695,1.32833026757705,593.811846083333,301.61032937114,0.833333333333333,0.445435403187374,33.3125,0.623957463827997,7.6,3.42,44.6,2.73,5.4,0.9,2.75,0.85,34.3,2.34,1.75,0.25,1.77,0.1,14.85,60.025,0,"No","High",770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118
"7","18th Palm_MWW_3/11/17_11:20_15","3/11/17","Bonaire","18th Palm","Scarus vetula","qup","i",28,334.7864879,120,24,0.2,0.083333333,57,2.375,28.5,17955,8,19,2,0,0,0,2,6581.44515970012,1251.51355747292,115.595238095238,20.202115542962,11.6812183427053,1.25786640577897,3726.79127174964,1191.91232527091,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,1426.14214194167,1174.83205027551,15,11.8383065784555,14.4410540915395,0.487838981249729,2300.64912980798,171.005838897422,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118,745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345,143.95103632119,37.8016446470664,2.26190476190476,0.595238095238095,15.5,0.961562881252794,13.1665324055952,5.45286894041756,2.14285714285714,1.66418465982913,7.32386363636364,1.76743516115813,651.403702897619,94.970335176938,8.45238095238095,0.898789813722708,15.5525625168482,0.517118797899933,1391.411247975,274.439044213645,5.23809523809524,1.05252279443451,23.1275793650794,0.647555612021173,1636.92167974619,294.243033361813,11.3095238095238,1.35909077694791,17.5080974925695,1.32833026757705,593.811846083333,301.61032937114,0.833333333333333,0.445435403187374,33.3125,0.623957463827997,7.6,3.42,44.6,2.73,5.4,0.9,2.75,0.85,34.3,2.34,1.75,0.25,1.77,0.1,14.85,60.025,0,"No","High",745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345
"8","18th Palm_MWW_3/11/17_11:20_16","3/11/17","Bonaire","18th Palm","Scarus vetula","qup","i",24,209.8549167,120,83,0.691666667,0,80,0.963855421686747,40,25200,27.6666666666667,26.6666666666667,2,0,0,0,2,6581.44515970012,1251.51355747292,115.595238095238,20.202115542962,11.6812183427053,1.25786640577897,3726.79127174964,1191.91232527091,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,1426.14214194167,1174.83205027551,15,11.8383065784555,14.4410540915395,0.487838981249729,2300.64912980798,171.005838897422,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118,745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345,143.95103632119,37.8016446470664,2.26190476190476,0.595238095238095,15.5,0.961562881252794,13.1665324055952,5.45286894041756,2.14285714285714,1.66418465982913,7.32386363636364,1.76743516115813,651.403702897619,94.970335176938,8.45238095238095,0.898789813722708,15.5525625168482,0.517118797899933,1391.411247975,274.439044213645,5.23809523809524,1.05252279443451,23.1275793650794,0.647555612021173,1636.92167974619,294.243033361813,11.3095238095238,1.35909077694791,17.5080974925695,1.32833026757705,593.811846083333,301.61032937114,0.833333333333333,0.445435403187374,33.3125,0.623957463827997,7.6,3.42,44.6,2.73,5.4,0.9,2.75,0.85,34.3,2.34,1.75,0.25,1.77,0.1,14.85,60.025,0,"No","High",745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345
"9","18th Palm_MWW_3/11/17_11:20_17","3/11/17","Bonaire","18th Palm","Scarus vetula","qup","t",50,1939.805559,120,54,0.45,0,32,0.592592592592593,16,10080,27,16,3,1,0,0,2,6581.44515970012,1251.51355747292,115.595238095238,20.202115542962,11.6812183427053,1.25786640577897,3726.79127174964,1191.91232527091,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,1426.14214194167,1174.83205027551,15,11.8383065784555,14.4410540915395,0.487838981249729,2300.64912980798,171.005838897422,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118,745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345,143.95103632119,37.8016446470664,2.26190476190476,0.595238095238095,15.5,0.961562881252794,13.1665324055952,5.45286894041756,2.14285714285714,1.66418465982913,7.32386363636364,1.76743516115813,651.403702897619,94.970335176938,8.45238095238095,0.898789813722708,15.5525625168482,0.517118797899933,1391.411247975,274.439044213645,5.23809523809524,1.05252279443451,23.1275793650794,0.647555612021173,1636.92167974619,294.243033361813,11.3095238095238,1.35909077694791,17.5080974925695,1.32833026757705,593.811846083333,301.61032937114,0.833333333333333,0.445435403187374,33.3125,0.623957463827997,7.6,3.42,44.6,2.73,5.4,0.9,2.75,0.85,34.3,2.34,1.75,0.25,1.77,0.1,14.85,60.025,0,"No","High",745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345
"10","18th Palm_MWW_3/11/17_11:20_18","3/11/17","Bonaire","18th Palm","Sparisoma viride","stop","i",20,124.4544051,120,82,0.683333333,0,14,0.170731707317073,7,4410,41,7,2,0,0,0,2,6581.44515970012,1251.51355747292,115.595238095238,20.202115542962,11.6812183427053,1.25786640577897,3726.79127174964,1191.91232527091,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,1426.14214194167,1174.83205027551,15,11.8383065784555,14.4410540915395,0.487838981249729,2300.64912980798,171.005838897422,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118,745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345,143.95103632119,37.8016446470664,2.26190476190476,0.595238095238095,15.5,0.961562881252794,13.1665324055952,5.45286894041756,2.14285714285714,1.66418465982913,7.32386363636364,1.76743516115813,651.403702897619,94.970335176938,8.45238095238095,0.898789813722708,15.5525625168482,0.517118797899933,1391.411247975,274.439044213645,5.23809523809524,1.05252279443451,23.1275793650794,0.647555612021173,1636.92167974619,294.243033361813,11.3095238095238,1.35909077694791,17.5080974925695,1.32833026757705,593.811846083333,301.61032937114,0.833333333333333,0.445435403187374,33.3125,0.623957463827997,7.6,3.42,44.6,2.73,5.4,0.9,2.75,0.85,34.3,2.34,1.75,0.25,1.77,0.1,14.85,60.025,0,"No","High",770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118
