"","site","island","species","species_code","phase","n","length_mean","length_se","g_frac_mean","g_frac_median","g_frac_se","br_mean","br_median","br_se","fr_mean","fr_median","fr_se","for_dur_mean","for_dur_median","for_dur_se","for_bites_mean","for_bites_median","for_bites_se","int_tot_mean","int_tot_median","int_tot_se","int_scar_mean","int_scar_median","int_scar_se","int_con_mean","int_con_median","int_con_se","int_hetscar_mean","int_hetscar_median","int_hetscar_se","int_dam_mean","int_dam_median","int_dam_se","tot_bm","tot_bm_se","tot_den","tot_den_se","tot_l","tot_l_se","herb_bm","herb_bm_se","herb_den","herb_den_se","herb_l","herb_l_se","acan_bm","acan_bm_se","acan_den","acan_den_se","acan_l","acan_l_se","scar_bm","scar_bm_se","scar_den","scar_den_se","scar_l","scar_l_se","vir_bm","vir_bm_se","vir_den","vir_den_se","vir_l","vir_l_se","vet_bm","vet_bm_se","vet_den","vet_den_se","vet_l","vet_l_se","aur_bm","aur_bm_se","aur_den","aur_den_se","aur_l","aur_l_se","juv_bm","juv_bm_se","juv_den","juv_den_se","juv_l","juv_l_se","init_bm","init_bm_se","init_den","init_den_se","init_l","init_l_se","term_bm","term_bm_se","term_den","term_den_se","term_l","term_l_se","carn_bm","carn_bm_se","carn_den","carn_den_se","carn_l","carn_l_se","carn30_bm","carn30_bm_se","carn30_den","carn30_den_se","carn30_l","carn30_l_se","cca_cover","cca_cover_se","lc_cover","lc_cover_se","ma_cover","ma_cover_se","ma_canopy","ma_canopy_se","ta_cover","ta_cover_se","ta_canopy","ta_canopy_se","rugosity","rugosity_se","ma_ind","ta_ind","spear_daily","spear_binary","diving","consp_bm","consp_bm_se","consp_den","consp_den_se","consp_l","consp_l_se"
"1","18th Palm","Bonaire","Scarus vetula","qup","i",26,24.9230769230769,0.786272759334193,0.507051282307692,0.5083333335,0.0408135543511285,0.949299677813923,0.890203154236835,0.0759859405230462,25.9615384615385,26,1.98104927071937,16.475,15.875,1.38350022162913,14.7128205128205,13.375,1.38200934715886,1.61538461538462,1.5,0.254660697803798,0.461538461538462,0,0.126864788480543,0.423076923076923,0,0.126163226668129,0,0,0,1.15384615384615,1,0.233319244432355,6581.44515970012,1251.51355747292,115.595238095238,20.202115542962,11.6812183427053,1.25786640577897,3726.79127174964,1191.91232527091,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,1426.14214194167,1174.83205027551,15,11.8383065784555,14.4410540915395,0.487838981249729,2300.64912980798,171.005838897422,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118,745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345,143.95103632119,37.8016446470664,2.26190476190476,0.595238095238095,15.5,0.961562881252794,13.1665324055952,5.45286894041756,2.14285714285714,1.66418465982913,7.32386363636364,1.76743516115813,651.403702897619,94.970335176938,8.45238095238095,0.898789813722708,15.5525625168482,0.517118797899933,1391.411247975,274.439044213645,5.23809523809524,1.05252279443451,23.1275793650794,0.647555612021173,1636.92167974619,294.243033361813,11.3095238095238,1.35909077694791,17.5080974925695,1.32833026757705,593.811846083333,301.61032937114,0.833333333333333,0.445435403187374,33.3125,0.623957463827997,7.6,3.42,44.6,2.73,5.4,0.9,2.75,0.85,34.3,2.34,1.75,0.25,1.77,0.1,14.85,60.025,0,"No","High",745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345
"2","18th Palm","Bonaire","Scarus vetula","qup","t",1,24,NA,0.975,0.975,NA,0.641025641025641,0.641025641025641,NA,37.5,37.5,NA,117,117,NA,75,75,NA,1,1,NA,0,0,NA,0,0,NA,0,0,NA,1,1,NA,6581.44515970012,1251.51355747292,115.595238095238,20.202115542962,11.6812183427053,1.25786640577897,3726.79127174964,1191.91232527091,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,1426.14214194167,1174.83205027551,15,11.8383065784555,14.4410540915395,0.487838981249729,2300.64912980798,171.005838897422,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118,745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345,143.95103632119,37.8016446470664,2.26190476190476,0.595238095238095,15.5,0.961562881252794,13.1665324055952,5.45286894041756,2.14285714285714,1.66418465982913,7.32386363636364,1.76743516115813,651.403702897619,94.970335176938,8.45238095238095,0.898789813722708,15.5525625168482,0.517118797899933,1391.411247975,274.439044213645,5.23809523809524,1.05252279443451,23.1275793650794,0.647555612021173,1636.92167974619,294.243033361813,11.3095238095238,1.35909077694791,17.5080974925695,1.32833026757705,593.811846083333,301.61032937114,0.833333333333333,0.445435403187374,33.3125,0.623957463827997,7.6,3.42,44.6,2.73,5.4,0.9,2.75,0.85,34.3,2.34,1.75,0.25,1.77,0.1,14.85,60.025,0,"No","High",745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345
"3","18th Palm","Bonaire","Sparisoma viride","stop","i",19,24.5789473684211,0.856061256053042,0.595175438631579,0.625,0.0607154783199357,0.409117882548952,0.346153846153846,0.0493261440294213,12.1578947368421,11,1.25717393525239,34.7631578947368,28,6.59769826893688,11.3447368421053,7.33333333333333,1.86761065165766,1.31578947368421,1,0.296693588162943,0.157894736842105,0,0.085947008518708,0,0,0,0.0526315789473684,0,0.0526315789473684,1.15789473684211,1,0.278500138006799,6581.44515970012,1251.51355747292,115.595238095238,20.202115542962,11.6812183427053,1.25786640577897,3726.79127174964,1191.91232527091,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,1426.14214194167,1174.83205027551,15,11.8383065784555,14.4410540915395,0.487838981249729,2300.64912980798,171.005838897422,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118,745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345,143.95103632119,37.8016446470664,2.26190476190476,0.595238095238095,15.5,0.961562881252794,13.1665324055952,5.45286894041756,2.14285714285714,1.66418465982913,7.32386363636364,1.76743516115813,651.403702897619,94.970335176938,8.45238095238095,0.898789813722708,15.5525625168482,0.517118797899933,1391.411247975,274.439044213645,5.23809523809524,1.05252279443451,23.1275793650794,0.647555612021173,1636.92167974619,294.243033361813,11.3095238095238,1.35909077694791,17.5080974925695,1.32833026757705,593.811846083333,301.61032937114,0.833333333333333,0.445435403187374,33.3125,0.623957463827997,7.6,3.42,44.6,2.73,5.4,0.9,2.75,0.85,34.3,2.34,1.75,0.25,1.77,0.1,14.85,60.025,0,"No","High",770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118
"4","18th Palm","Bonaire","Sparisoma viride","stop","t",6,27.6666666666667,0.666666666666667,0.4833333335,0.4791666665,0.112216721487024,0.425421428582594,0.360833333333333,0.0863092334978044,9.75,9.5,0.972539630726344,29.4583333333333,32.5,7.1886532891155,9.65277777777778,9.83333333333333,1.55313551832144,1,1,0.365148371670111,0.333333333333333,0,0.210818510677892,0,0,0,0,0,0,0.666666666666667,0.5,0.333333333333333,6581.44515970012,1251.51355747292,115.595238095238,20.202115542962,11.6812183427053,1.25786640577897,3726.79127174964,1191.91232527091,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,1426.14214194167,1174.83205027551,15,11.8383065784555,14.4410540915395,0.487838981249729,2300.64912980798,171.005838897422,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118,745.463377369048,123.743821909249,2.02380952380952,0.247817380888825,24.952380952381,2.258937067345,143.95103632119,37.8016446470664,2.26190476190476,0.595238095238095,15.5,0.961562881252794,13.1665324055952,5.45286894041756,2.14285714285714,1.66418465982913,7.32386363636364,1.76743516115813,651.403702897619,94.970335176938,8.45238095238095,0.898789813722708,15.5525625168482,0.517118797899933,1391.411247975,274.439044213645,5.23809523809524,1.05252279443451,23.1275793650794,0.647555612021173,1636.92167974619,294.243033361813,11.3095238095238,1.35909077694791,17.5080974925695,1.32833026757705,593.811846083333,301.61032937114,0.833333333333333,0.445435403187374,33.3125,0.623957463827997,7.6,3.42,44.6,2.73,5.4,0.9,2.75,0.85,34.3,2.34,1.75,0.25,1.77,0.1,14.85,60.025,0,"No","High",770.768011973691,122.792484810236,2.85714285714286,0.652050663696626,23.7333333333333,1.13340335918118
"5","Front Porch","Bonaire","Scarus vetula","qup","i",18,23.6666666666667,0.855585263892997,0.461111110944444,0.479166666,0.0517574225355865,0.818912874743423,0.860606060606061,0.0595132263914191,24.1388888888889,25.5,2.81882257541905,21.1637254901961,15,4.68077464771064,17.3676470588235,11.75,3.00048332995304,1.72222222222222,1,0.350588259663795,0.333333333333333,0,0.140028008402801,0.277777777777778,0,0.135414048072553,0,0,0,1.22222222222222,1,0.222222222222222,10867.7265104417,2291.89424450388,146.666666666667,56.1939020680147,15.2257537999666,1.87656220794801,4855.0283130125,450.619106268617,19.7916666666667,3.06894163805338,23.003204812429,1.22657725657159,187.2787667375,95.3667513510504,1.45833333333333,0.625,18.2222222222222,0.968644209675705,4667.749546275,424.591151119977,18.3333333333333,2.65710089857069,23.2579966329966,1.12729937902766,3262.71035914167,141.143534385755,13.125,1.33398421613184,22.9880421865716,0.635935131380045,824.2219149375,307.816990348097,1.25,0.416666666666667,31.1666666666667,4.09267638593623,196.38873385625,77.1308138725735,1.45833333333333,0.524294058004913,19.8888888888889,0.484322104837853,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,3906.14898052708,1935.11545725917,28.75,14.2339090437823,18.5877416756176,1.01524308611032,1115.11073366667,512.580028993007,1.45833333333333,0.711593803191639,34.6666666666667,1.96497102042527,6.7,1.2,44.9,3.99,0.88,0.36,5.75,3.25,32.1,2.43,1.63,0.24,1.9,0.1,5.06,52.323,0,"No","High",824.2219149375,307.816990348097,1.25,0.416666666666667,31.1666666666667,4.09267638593623
"6","Front Porch","Bonaire","Scarus vetula","qup","t",4,27.25,1.54784796841723,0.322916667,0.3500000005,0.123480346051957,0.412509780907668,0.423611111111111,0.186064390721007,11.25,8.25,6.21322514211956,23.1666666666667,18,5.36384501391803,14.4444444444444,11.5,6.41955202083044,1.25,1.5,0.478713553878169,0.25,0,0.25,0.25,0,0.25,0,0,0,0.75,0.5,0.478713553878169,10867.7265104417,2291.89424450388,146.666666666667,56.1939020680147,15.2257537999666,1.87656220794801,4855.0283130125,450.619106268617,19.7916666666667,3.06894163805338,23.003204812429,1.22657725657159,187.2787667375,95.3667513510504,1.45833333333333,0.625,18.2222222222222,0.968644209675705,4667.749546275,424.591151119977,18.3333333333333,2.65710089857069,23.2579966329966,1.12729937902766,3262.71035914167,141.143534385755,13.125,1.33398421613184,22.9880421865716,0.635935131380045,824.2219149375,307.816990348097,1.25,0.416666666666667,31.1666666666667,4.09267638593623,196.38873385625,77.1308138725735,1.45833333333333,0.524294058004913,19.8888888888889,0.484322104837853,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,3906.14898052708,1935.11545725917,28.75,14.2339090437823,18.5877416756176,1.01524308611032,1115.11073366667,512.580028993007,1.45833333333333,0.711593803191639,34.6666666666667,1.96497102042527,6.7,1.2,44.9,3.99,0.88,0.36,5.75,3.25,32.1,2.43,1.63,0.24,1.9,0.1,5.06,52.323,0,"No","High",824.2219149375,307.816990348097,1.25,0.416666666666667,31.1666666666667,4.09267638593623
"7","Front Porch","Bonaire","Sparisoma viride","stop","i",20,23.5,0.745159820370595,0.39916666665,0.4166666665,0.0665236953947625,0.345645823054245,0.330031033659585,0.0451693351224491,8.5,8.75,1.2977713690461,24.5029411764706,16.2,6.19426737598268,8.3343137254902,7,1.80158180429006,1.4,1,0.275298880644674,0.35,0,0.109424330980483,0.35,0,0.109424330980483,0,0,0,0.5,0,0.135724178507659,10867.7265104417,2291.89424450388,146.666666666667,56.1939020680147,15.2257537999666,1.87656220794801,4855.0283130125,450.619106268617,19.7916666666667,3.06894163805338,23.003204812429,1.22657725657159,187.2787667375,95.3667513510504,1.45833333333333,0.625,18.2222222222222,0.968644209675705,4667.749546275,424.591151119977,18.3333333333333,2.65710089857069,23.2579966329966,1.12729937902766,3262.71035914167,141.143534385755,13.125,1.33398421613184,22.9880421865716,0.635935131380045,824.2219149375,307.816990348097,1.25,0.416666666666667,31.1666666666667,4.09267638593623,196.38873385625,77.1308138725735,1.45833333333333,0.524294058004913,19.8888888888889,0.484322104837853,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,3906.14898052708,1935.11545725917,28.75,14.2339090437823,18.5877416756176,1.01524308611032,1115.11073366667,512.580028993007,1.45833333333333,0.711593803191639,34.6666666666667,1.96497102042527,6.7,1.2,44.9,3.99,0.88,0.36,5.75,3.25,32.1,2.43,1.63,0.24,1.9,0.1,5.06,52.323,0,"No","High",3262.71035914167,141.143534385755,13.125,1.33398421613184,22.9880421865716,0.635935131380045
"8","Front Porch","Bonaire","Sparisoma viride","stop","t",6,27.5,1.72723285440422,0.3777777775,0.358333333,0.117510178089778,0.231221120927003,0.238095238095238,0.0517824952497778,6.16666666666667,7.5,1.79660173042825,23.2666666666667,26,5.50286120863333,6.4,6.33333333333333,1.48962461092769,1.5,1,0.670820393249937,0.833333333333333,0,0.542627353203324,0.833333333333333,0,0.542627353203324,0,0,0,0.5,0.5,0.223606797749979,10867.7265104417,2291.89424450388,146.666666666667,56.1939020680147,15.2257537999666,1.87656220794801,4855.0283130125,450.619106268617,19.7916666666667,3.06894163805338,23.003204812429,1.22657725657159,187.2787667375,95.3667513510504,1.45833333333333,0.625,18.2222222222222,0.968644209675705,4667.749546275,424.591151119977,18.3333333333333,2.65710089857069,23.2579966329966,1.12729937902766,3262.71035914167,141.143534385755,13.125,1.33398421613184,22.9880421865716,0.635935131380045,824.2219149375,307.816990348097,1.25,0.416666666666667,31.1666666666667,4.09267638593623,196.38873385625,77.1308138725735,1.45833333333333,0.524294058004913,19.8888888888889,0.484322104837853,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,3906.14898052708,1935.11545725917,28.75,14.2339090437823,18.5877416756176,1.01524308611032,1115.11073366667,512.580028993007,1.45833333333333,0.711593803191639,34.6666666666667,1.96497102042527,6.7,1.2,44.9,3.99,0.88,0.36,5.75,3.25,32.1,2.43,1.63,0.24,1.9,0.1,5.06,52.323,0,"No","High",3262.71035914167,141.143534385755,13.125,1.33398421613184,22.9880421865716,0.635935131380045
"9","Karpata","Bonaire","Scarus vetula","qup","i",32,24,0.521706257730189,0.5127604165,0.5166666665,0.0231506395840902,0.883893433485434,0.882323359316067,0.0307567075455253,27.125,27.75,1.50519932234904,15.5931547619048,13,1.40589559208978,13.7129092261905,12.9,1.23385578790546,1.75,2,0.195720340314703,0.59375,0,0.133647458431357,0.34375,0,0.0964006989500829,0.09375,0,0.0523514603733822,1.15625,1,0.185727509166764,3563.21519010167,332.61672599109,123.333333333333,10.8987645530615,8.81954688382575,0.339991316496061,2160.76159756,203.5542269491,27.7380952380952,2.45134050975881,13.0632293300354,0.536870395528284,77.3225299714286,24.5286314184627,1.07142857142857,0.350466701044756,13.8,0.644204936336256,2083.43906758857,206.538081961175,26.6666666666667,2.5588315785958,13.0639626383469,0.543215043423179,510.486040499167,135.716632455261,4.04761904761905,0.934858649951567,13.9326530612245,1.31171263313698,771.542305003572,123.378822291888,2.97619047619048,0.509731451534331,23.2857142857143,0.967367210384914,226.022552453333,32.7251216111708,3.21428571428571,0.614759261302765,16.047619047619,0.648272312909909,54.8029190640476,15.6984744047233,9.52380952380952,2.19620541301932,5.75936008436008,0.592008770964869,775.98807687381,174.030243241928,10.5952380952381,2.3898642737958,15.2427734170591,0.562399085765687,1164.58861378214,179.937176223591,4.88095238095238,0.527941853001987,22.9126984126984,0.649380967706515,693.086241463095,158.808112068183,6.66666666666667,1.06034835046725,16.3082199546485,0.376531282240294,91.5382642619048,91.5382642619048,0.119047619047619,0.119047619047619,35,NA,7.6,0.78,59.8,3.5,7.91,2.52,11.25,3.15,21,2.67,1.63,0.24,1.97,0.11,88.9875,34.23,0,"No","High",771.542305003572,123.378822291888,2.97619047619048,0.509731451534331,23.2857142857143,0.967367210384914
"10","Karpata","Bonaire","Scarus vetula","qup","t",4,27,1.77951304200522,0.45,0.4291666665,0.0252304196266538,0.846194067370538,0.841960784313726,0.0335678013058909,22.75,23,0.924211375534118,15.5625,14.375,3.48265792893876,13.2708333333333,12.125,3.16618691541313,1.75,2,0.75,0.75,0.5,0.478713553878169,0.25,0,0.25,0.25,0,0.25,1,0.5,0.707106781186548,3563.21519010167,332.61672599109,123.333333333333,10.8987645530615,8.81954688382575,0.339991316496061,2160.76159756,203.5542269491,27.7380952380952,2.45134050975881,13.0632293300354,0.536870395528284,77.3225299714286,24.5286314184627,1.07142857142857,0.350466701044756,13.8,0.644204936336256,2083.43906758857,206.538081961175,26.6666666666667,2.5588315785958,13.0639626383469,0.543215043423179,510.486040499167,135.716632455261,4.04761904761905,0.934858649951567,13.9326530612245,1.31171263313698,771.542305003572,123.378822291888,2.97619047619048,0.509731451534331,23.2857142857143,0.967367210384914,226.022552453333,32.7251216111708,3.21428571428571,0.614759261302765,16.047619047619,0.648272312909909,54.8029190640476,15.6984744047233,9.52380952380952,2.19620541301932,5.75936008436008,0.592008770964869,775.98807687381,174.030243241928,10.5952380952381,2.3898642737958,15.2427734170591,0.562399085765687,1164.58861378214,179.937176223591,4.88095238095238,0.527941853001987,22.9126984126984,0.649380967706515,693.086241463095,158.808112068183,6.66666666666667,1.06034835046725,16.3082199546485,0.376531282240294,91.5382642619048,91.5382642619048,0.119047619047619,0.119047619047619,35,NA,7.6,0.78,59.8,3.5,7.91,2.52,11.25,3.15,21,2.67,1.63,0.24,1.97,0.11,88.9875,34.23,0,"No","High",771.542305003572,123.378822291888,2.97619047619048,0.509731451534331,23.2857142857143,0.967367210384914
